Date,HomeTeam,AwayTeam,Home team Points,Home team Goal scored,Home team Goal conceded,Home team Shot on target,Home team Red Cards,Away team Points,Away team Goal scored,Away team Goal conceded,Away team Shot on target,Away team Red Cards
5/8/2022,Crystal Palace,Arsenal,483.0,482.0,589.0,1620.0,17.0,1683.0,1625.0,927.0,5933.0,78.0
6/8/2022,Fulham,Liverpool,623.0,613.0,790.0,2895.0,41.0,1697.0,1625.0,826.0,6122.0,46.0
6/8/2022,Bournemouth,Aston Villa,181.0,196.0,261.0,610.0,9.0,965.0,963.0,1100.0,3945.0,52.0
6/8/2022,Leeds,Wolves,387.0,403.0,507.0,1515.0,25.0,392.0,358.0,513.0,1572.0,20.0
6/8/2022,Newcastle,Nottingham,1026.0,988.0,1180.0,4168.0,73.0,,,,,
6/8/2022,Tottenham,Southampton,1458.0,1406.0,1055.0,5576.0,58.0,733.0,733.0,890.0,2983.0,42.0
6/8/2022,Everton,Chelsea,1226.0,1147.0,1146.0,4676.0,84.0,1750.0,1634.0,779.0,5952.0,63.0
7/8/2022,Leicester,Brentford,616.0,664.0,667.0,2045.0,35.0,138.0,144.0,168.0,462.0,9.0
7/8/2022,Man United,Brighton,1746.0,1611.0,861.0,6038.0,53.0,282.0,250.0,292.0,871.0,18.0
7/8/2022,West Ham,Man City,961.0,980.0,1115.0,3762.0,59.0,1542.0,1591.0,878.0,5516.0,63.0
13/08/2022,Aston Villa,Everton,965.0,963.0,1100.0,3945.0,52.0,1226.0,1147.0,1146.0,4676.0,84.0
13/08/2022,Arsenal,Leicester,1683.0,1625.0,927.0,5933.0,78.0,616.0,664.0,667.0,2045.0,35.0
13/08/2022,Brighton,Newcastle,282.0,250.0,292.0,871.0,18.0,1026.0,988.0,1180.0,4168.0,73.0
13/08/2022,Man City,Bournemouth,1542.0,1591.0,878.0,5516.0,63.0,181.0,196.0,261.0,610.0,9.0
13/08/2022,Southampton,Leeds,733.0,733.0,890.0,2983.0,42.0,387.0,403.0,507.0,1515.0,25.0
13/08/2022,Wolves,Fulham,392.0,358.0,513.0,1572.0,20.0,623.0,613.0,790.0,2895.0,41.0
13/08/2022,Brentford,Man United,138.0,144.0,168.0,462.0,9.0,1746.0,1611.0,861.0,6038.0,53.0
14/08/2022,Nottingham,West Ham,,,,,,961.0,980.0,1115.0,3762.0,59.0
14/08/2022,Chelsea,Tottenham,1750.0,1634.0,779.0,5952.0,63.0,1458.0,1406.0,1055.0,5576.0,58.0
15/08/2022,Liverpool,Crystal Palace,1697.0,1625.0,826.0,6122.0,46.0,483.0,482.0,589.0,1620.0,17.0
20/08/2022,Tottenham,Wolves,1458.0,1406.0,1055.0,5576.0,58.0,392.0,358.0,513.0,1572.0,20.0
