Home team,Away team,Home team Points H2H,Home team Goal scored H2H,Home Team Red Cards H2H,Home Team Shot on Target H2H,Away team Points H2H,Away team Goal scored H2H,Away Team Red Cards H2H,Away Team Shot on Target H2H
Charlton,Man City,8,11,1,42,8,12,0,47
Chelsea,West Ham,46,40,1,168,10,14,4,68
Coventry,Middlesbrough,0,1,1,3,3,3,0,9
Derby,Southampton,4,3,0,7,1,2,0,10
Leeds,Everton,10,13,0,46,10,12,0,50
Leicester,Aston Villa,11,6,1,40,11,10,1,42
Liverpool,Bradford,3,1,0,10,0,0,0,2
Sunderland,Arsenal,10,8,0,50,28,23,3,96
Tottenham,Ipswich,3,4,1,12,3,3,0,9
Man United,Newcastle,55,60,0,202,7,20,2,98
Arsenal,Liverpool,33,35,3,124,27,31,4,111
Bradford,Chelsea,3,2,0,3,0,0,0,6
Ipswich,Man United,1,1,0,12,4,2,0,14
Middlesbrough,Tottenham,13,13,0,54,10,12,0,38
Everton,Charlton,12,9,0,44,9,7,1,24
Man City,Sunderland,35,37,0,110,2,15,3,49
Newcastle,Derby,7,6,1,27,1,4,0,15
Southampton,Coventry,0,1,0,4,3,2,0,5
West Ham,Leicester,19,23,2,64,13,14,3,38
Arsenal,Charlton,18,22,0,71,3,8,1,18
Bradford,Leicester,1,0,0,4,1,0,0,8
Everton,Derby,7,4,0,26,1,2,0,11
Ipswich,Sunderland,6,6,0,13,0,0,0,6
Man City,Coventry,0,1,0,5,3,2,0,8
Middlesbrough,Leeds,1,5,0,29,7,7,0,21
Newcastle,Tottenham,30,39,5,118,30,35,1,116
Southampton,Liverpool,20,20,0,68,26,22,0,81
West Ham,Man United,20,27,1,86,38,39,1,147
Aston Villa,Chelsea,24,22,2,81,30,30,4,139
Leeds,Man City,7,7,0,25,13,16,1,47
Man United,Bradford,3,6,0,12,0,0,0,4
Sunderland,West Ham,18,17,2,92,15,14,2,65
Tottenham,Everton,46,51,0,158,16,22,1,88
Charlton,Southampton,9,6,1,30,3,4,0,26
Chelsea,Arsenal,37,43,3,133,28,34,5,113
Coventry,Newcastle,0,0,0,3,3,2,0,6
Derby,Middlesbrough,1,3,0,18,7,5,0,10
Leicester,Ipswich,4,3,1,13,1,2,1,12
Liverpool,Aston Villa,40,37,1,150,16,23,1,63
Bradford,Arsenal,1,1,0,5,1,1,0,11
Coventry,Leeds,1,0,0,1,1,0,0,5
Ipswich,Aston Villa,1,1,0,8,4,2,0,4
Leicester,Southampton,24,21,0,56,9,11,0,51
Liverpool,Man City,47,43,1,140,14,29,3,80
Man United,Sunderland,35,27,0,130,5,7,2,41
Middlesbrough,Everton,11,6,0,46,14,8,0,46
Newcastle,Chelsea,29,22,2,104,32,31,0,133
Derby,Charlton,2,3,0,11,2,3,0,13
Tottenham,West Ham,42,39,0,141,9,20,3,65
Arsenal,Coventry,3,2,0,13,0,1,0,2
Aston Villa,Bradford,3,2,0,7,0,0,0,4
Charlton,Tottenham,9,10,0,40,12,11,0,38
Everton,Man United,27,26,0,113,36,33,2,151
Leeds,Ipswich,3,3,0,13,3,2,0,10
Southampton,Newcastle,25,30,1,102,16,16,0,72
Sunderland,Derby,7,4,0,29,1,2,0,17
Chelsea,Leicester,21,16,1,86,9,9,3,27
Man City,Middlesbrough,12,8,0,62,9,6,0,32
West Ham,Liverpool,23,29,1,91,35,41,1,134
Bradford,Southampton,0,0,0,6,3,1,0,4
Coventry,West Ham,0,0,0,2,3,3,0,10
Derby,Leeds,1,1,1,8,4,2,0,10
Ipswich,Arsenal,1,1,0,8,4,3,0,7
Liverpool,Sunderland,30,23,1,112,6,7,1,35
Man United,Chelsea,37,32,1,124,22,22,3,128
Middlesbrough,Aston Villa,8,9,0,60,14,15,1,57
Newcastle,Charlton,12,9,0,63,6,4,0,20
Tottenham,Man City,45,33,1,147,21,25,2,133
Leicester,Everton,13,15,1,68,22,18,1,51
Aston Villa,Derby,9,8,0,19,0,2,1,9
Charlton,Coventry,1,2,0,8,1,2,0,6
Everton,Ipswich,0,1,0,7,6,5,0,10
Leeds,Tottenham,10,11,0,37,13,20,0,55
Man City,Newcastle,53,57,0,164,5,9,1,70
Southampton,Middlesbrough,5,5,1,26,8,7,1,24
West Ham,Bradford,1,1,0,6,1,1,0,6
Arsenal,Man United,40,37,1,165,22,26,2,111
Chelsea,Liverpool,34,31,2,110,31,25,3,105
Sunderland,Leicester,8,4,0,24,5,4,0,21
Arsenal,Aston Villa,47,50,2,195,14,22,1,83
Coventry,Tottenham,3,2,1,5,0,1,0,5
Everton,Southampton,40,29,0,88,4,10,1,57
Ipswich,West Ham,1,3,0,16,4,4,0,6
Leeds,Charlton,5,7,0,25,5,6,0,26
Leicester,Man United,15,23,1,58,15,25,1,62
Man City,Bradford,3,2,0,10,0,0,0,2
Sunderland,Chelsea,8,16,1,75,32,27,3,101
Derby,Liverpool,0,1,0,8,9,7,0,26
Middlesbrough,Newcastle,6,8,1,51,15,14,0,37
Bradford,Ipswich,0,0,0,3,3,2,0,3
Charlton,Middlesbrough,10,6,0,32,7,6,0,42
Chelsea,Coventry,3,6,0,19,0,1,1,3
Liverpool,Leicester,34,24,0,104,1,6,0,24
Man United,Leeds,20,28,0,67,2,8,0,27
Newcastle,Everton,36,38,3,153,24,28,2,105
Tottenham,Derby,9,10,0,34,0,2,0,15
West Ham,Arsenal,10,21,2,78,43,41,0,147
Aston Villa,Sunderland,19,14,2,72,13,8,3,51
Southampton,Man City,14,13,1,73,23,19,1,73
Arsenal,Man City,33,28,5,124,30,27,6,101
Aston Villa,Charlton,19,10,0,44,1,2,0,18
