Date,HomeTeam,AwayTeam,Home team Points,Home team Goal scored,Home team Goal conceded,Home team Shot on target,Home team Red Cards,Away team Points,Away team Goal scored,Away team Goal conceded,Away team Shot on target,Away team Red Cards,Home team Points H2H,Home team Goal scored H2H,Home Team Red Cards H2H,Home Team Shot on Target H2H,Away team Points H2H,Away team Goal scored H2H,Away Team Red Cards H2H,Away Team Shot on Target H2H
5/8/2022,Crystal Palace,Arsenal,483,482,589,1620,17,1683,1625,927,5933,78,15,21,0,47,18,16,2,58
6/8/2022,Fulham,Liverpool,623,613,790,2895,41,1697,1625,826,6122,46,16,19,3,81,25,26,4,102
6/8/2022,Bournemouth,Aston Villa,181,196,261,610,9,965,963,1100,3945,52,3,2,1,8,3,2,0,8
6/8/2022,Leeds,Wolves,387,403,507,1515,25,392,358,513,1572,20,6,7,0,22,6,5,0,20
6/8/2022,Newcastle,Nottingham,1026,988,1180,4168,73,,,,,,,,,,,,,
6/8/2022,Tottenham,Southampton,1458,1406,1055,5576,58,733,733,890,2983,42,34,36,1,93,16,24,1,104
6/8/2022,Everton,Chelsea,1226,1147,1146,4676,84,1750,1634,779,5952,63,37,26,3,108,28,25,2,148
7/8/2022,Leicester,Brentford,616,664,667,2045,35,138,144,168,462,9,9,6,0,12,0,3,0,18
7/8/2022,Man United,Brighton,1746,1611,861,6038,53,282,250,292,871,18,18,12,0,43,0,2,3,16
7/8/2022,West Ham,Man City,961,980,1115,3762,59,1542,1591,878,5516,63,20,21,0,74,32,38,0,120
13/08/2022,Aston Villa,Everton,965,963,1100,3945,52,1226,1147,1146,4676,84,37,36,1,108,19,23,0,105
13/08/2022,Arsenal,Leicester,1683,1625,927,5933,78,616,664,667,2045,35,33,30,1,98,3,9,2,29
13/08/2022,Brighton,Newcastle,282,250,292,871,18,1026,988,1180,4168,73,9,7,3,24,3,3,0,9
13/08/2022,Man City,Bournemouth,1542,1591,878,5516,63,181,196,261,610,9,12,16,1,34,0,2,0,5
13/08/2022,Southampton,Leeds,733,733,890,2983,42,387,403,507,1515,25,18,9,1,40,6,6,1,28
13/08/2022,Wolves,Fulham,392,358,513,1572,20,623,613,790,2895,41,13,8,0,29,1,3,0,17
13/08/2022,Brentford,Man United,138,144,168,462,9,1746,1611,861,6038,53,0,3,0,24,9,9,0,15
14/08/2022,Nottingham,West Ham,,,,,,961,980,1115,3762,59,,,,,,,,
14/08/2022,Chelsea,Tottenham,1750,1634,779,5952,63,1458,1406,1055,5576,58,49,43,0,157,10,14,2,86
15/08/2022,Liverpool,Crystal Palace,1697,1625,826,6122,46,483,482,589,1620,17,21,21,0,68,9,10,0,30
20/08/2022,Tottenham,Wolves,1458,1406,1055,5576,58,392,358,513,1572,20,10,11,0,75,13,11,0,40
20/08/2022,Crystal Palace,Aston Villa,483,482,589,1620,17,965,963,1100,3945,52,15,12,0,46,12,10,1,31
20/08/2022,Everton,Nottingham,1226,1147,1146,4676,84,,,,,,,,,,,,,
20/08/2022,Fulham,Brentford,623,613,790,2895,41,138,144,168,462,9,,,,,,,,
20/08/2022,Leicester,Southampton,616,664,667,2045,35,733,733,890,2983,42,24,21,0,56,9,11,0,51
20/08/2022,Bournemouth,Arsenal,181,196,261,610,9,1683,1625,927,5933,78,5,7,1,24,8,9,0,18
21/08/2022,Leeds,Chelsea,387,403,507,1515,25,1750,1634,779,5952,63,9,5,3,33,12,10,0,45
21/08/2022,West Ham,Brighton,961,980,1115,3762,59,282,250,292,871,18,5,8,0,30,8,11,0,24
21/08/2022,Newcastle,Man City,1026,988,1180,4168,73,1542,1591,878,5516,63,15,20,1,106,42,41,0,122
22/08/2022,Man United,Liverpool,1746,1611,861,6038,53,1697,1625,826,6122,46,38,34,6,125,29,39,2,115
27/08/2022,Southampton,Man United,733,733,890,2983,42,1746,1611,861,6038,53,13,19,1,77,31,27,0,90
27/08/2022,Brentford,Everton,138,144,168,462,9,1226,1147,1146,4676,84,9,3,0,12,0,0,0,15
27/08/2022,Brighton,Leeds,282,250,292,871,18,387,403,507,1515,25,6,2,0,17,3,0,0,14
27/08/2022,Chelsea,Leicester,1750,1634,779,5952,63,616,664,667,2045,35,21,16,1,86,9,9,3,27
27/08/2022,Liverpool,Bournemouth,1697,1625,826,6122,46,181,196,261,610,9,7,6,0,17,1,2,0,5
27/08/2022,Man City,Crystal Palace,1542,1591,878,5516,63,483,482,589,1620,17,22,27,3,62,10,9,0,24
27/08/2022,Arsenal,Fulham,1683,1625,927,5933,78,623,613,790,2895,41,32,30,0,132,5,11,0,47
28/08/2022,Aston Villa,West Ham,965,963,1100,3945,52,961,980,1115,3762,59,26,23,3,101,23,26,1,94
28/08/2022,Wolves,Newcastle,392,358,513,1572,20,1026,988,1180,4168,73,13,11,0,34,7,9,0,25
28/08/2022,Nottingham,Tottenham,,,,,,1458,1406,1055,5576,58,,,,,,,,
30/08/2022,Crystal Palace,Brentford,483,482,589,1620,17,138,144,168,462,9,3,0,0,6,3,0,0,9
30/08/2022,Fulham,Brighton,623,613,790,2895,41,282,250,292,871,18,1,0,0,4,1,0,0,4
30/08/2022,Southampton,Chelsea,733,733,890,2983,42,1750,1634,779,5952,63,9,13,1,50,39,47,0,105
30/08/2022,Leeds,Everton,387,403,507,1515,25,1226,1147,1146,4676,84,10,13,0,46,10,12,0,50
31/08/2022,Arsenal,Aston Villa,1683,1625,927,5933,78,965,963,1100,3945,52,47,50,2,195,14,22,1,83
31/08/2022,Bournemouth,Wolves,181,196,261,610,9,392,358,513,1572,20,0,1,1,2,3,2,0,7
31/08/2022,Man City,Nottingham,1542,1591,878,5516,63,,,,,,,,,,,,,
31/08/2022,West Ham,Tottenham,961,980,1115,3762,59,1458,1406,1055,5576,58,32,25,1,123,29,23,3,122
31/08/2022,Liverpool,Newcastle,1697,1625,826,6122,46,1026,988,1180,4168,73,53,50,0,166,5,14,7,63
