Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,Home_Win_Prob,Draw_Prob,Away_Win_Prob,FTR_Prediction
2022-08-05,Crystal Palace,Arsenal,0,2,A,2,2,0,0,28,26,19,85,0,37,34,25,100,3,12,17,16,45,0,12,16,17,47,1,0.4153710316673799,0.2138950732533599,0.3707338950792601,H
2022-08-06,Fulham,Liverpool,2,2,D,3,4,0,0,16,12,26,67,0,51,44,11,133,0,10,9,22,53,0,19,22,9,84,1,0.0726238663311083,0.1985416196612577,0.7288345140076339,A
2022-08-06,Bournemouth,Aston Villa,2,0,H,3,2,0,0,16,15,30,59,3,23,28,26,101,1,9,6,4,15,1,3,4,6,16,0,0.2386115638401461,0.3306914393258107,0.4306969968340433,A
2022-08-06,Leeds,Wolves,2,1,H,4,6,0,0,22,24,43,78,2,26,25,29,79,1,11,13,12,41,1,11,12,13,41,2,0.3586465700717343,0.280724347473878,0.3606290824543877,H
2022-08-06,Newcastle,Nottingham,2,0,H,10,0,0,0,39,26,21,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5829855457842154,0.2271640235745161,0.1898504306412685,H
2022-08-06,Tottenham,Southampton,4,1,H,8,2,0,0,38,46,20,110,0,20,24,39,97,1,15,19,15,56,1,12,15,19,54,2,0.6890471481305906,0.1838945465586369,0.1270583053107724,H
2022-08-06,Everton,Chelsea,0,1,A,4,6,0,0,20,20,34,65,5,36,37,21,109,0,16,8,7,27,0,10,7,8,65,0,0.1941416396157098,0.3494243619283787,0.4564339984559115,A
2022-08-07,Leicester,Brentford,2,2,D,5,3,0,0,27,31,26,82,0,26,27,31,82,2,12,8,4,20,0,0,4,8,22,0,0.5687294500929932,0.1939433465618163,0.2373272033451905,H
2022-08-07,Man United,Brighton,1,2,A,5,4,0,0,27,27,31,97,0,27,25,26,80,1,18,15,16,55,0,12,16,15,37,2,0.440766160426191,0.2599926779264755,0.2992411616473335,D
2022-08-07,West Ham,Man City,0,2,A,1,2,0,0,28,30,27,73,1,49,55,17,124,0,3,9,26,20,0,24,26,9,73,0,0.1475471255005856,0.182279305118813,0.6701735693806015,A
2022-08-13,Aston Villa,Everton,2,1,H,4,4,0,0,23,27,26,98,1,20,19,33,64,5,22,16,10,34,0,7,10,16,34,0,0.6704946108827733,0.1853118599634596,0.144193529153767,H
2022-08-13,Arsenal,Leicester,4,2,H,7,2,0,0,37,31,25,96,3,28,31,25,83,0,21,19,11,58,1,9,11,19,49,0,0.4756314317171969,0.2902944201369919,0.2340741481458112,H
2022-08-13,Brighton,Newcastle,0,0,D,7,1,0,0,27,24,25,79,1,41,27,20,93,0,16,12,6,41,3,10,6,12,28,0,0.3493023992731495,0.2836999137258819,0.3669976870009685,D
2022-08-13,Man City,Bournemouth,4,0,H,7,1,0,0,49,51,14,117,0,18,15,28,57,3,24,27,4,59,2,0,4,27,18,0,0.8623428350160424,0.088396629712159,0.0492605352717985,H
2022-08-13,Southampton,Leeds,2,2,D,4,5,0,0,19,24,42,97,0,22,23,43,75,2,16,10,11,55,0,10,11,10,46,1,0.5387998568726629,0.2377351183091139,0.2234650248182232,H
2022-08-13,Wolves,Fulham,0,0,D,1,3,0,0,23,25,31,79,1,16,14,28,67,0,18,10,10,44,1,9,10,10,53,0,0.4649051867067143,0.3042033403964079,0.2308914728968777,H
2022-08-13,Brentford,Man United,4,0,H,7,4,0,0,24,27,32,81,2,27,28,32,100,0,0,2,12,24,0,12,12,2,20,0,0.3466547733295063,0.3025584448801034,0.3507867817903902,H
2022-08-14,Nottingham,West Ham,1,0,H,6,5,0,0,0,0,2,0,0,25,26,28,68,1,0,0,0,0,0,0,0,0,0,0,0.3389803295087184,0.2674751933296181,0.3935444771616634,H
2022-08-14,Chelsea,Tottenham,2,2,D,3,5,0,0,36,35,20,111,0,38,47,19,108,0,22,17,7,50,0,7,7,17,36,1,0.3817219698302556,0.2361772219393961,0.3821008082303482,D
