Combo,Accuracy
"('RedH2HLast10', 'GoalConcededLast20')",57.33788395904437
"('RedH2HLast10', 'RedLast20', 'GoalConcededLast20')",57.33788395904437
"('RedH2HLast10', 'RedLast20')",57.67918088737202
"('RedLast20', 'GoalConcededLast20')",58.02047781569966
"('ShotTargetH2HLast10',)",58.703071672354945
"('ShotTargetLast20',)",59.38566552901023
"('PointH2HLast10', 'RedH2HLast10', 'RedLast20')",59.72696245733788
"('GoalScoredLast20',)",60.40955631399317
"('GoalScoredH2HLast10', 'GoalConcededH2HLast10')",60.40955631399317
"('PointH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10')",60.75085324232082
"('GoalConcededH2HLast10',)",60.75085324232082
"('GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'GoalConcededH2HLast10')",60.75085324232082
"('PointH2HLast10', 'RedLast20')",60.75085324232082
"('GoalScoredLast20', 'RedH2HLast10')",61.092150170648466
"('PointH2HLast10', 'RedH2HLast10')",61.092150170648466
"('GoalScoredH2HLast10',)",61.092150170648466
"('PointH2HLast10', 'GoalScoredH2HLast10', 'RedH2HLast10', 'RedLast20')",61.43344709897611
"('ShotTargetH2HLast10', 'GoalConcededH2HLast10')",61.43344709897611
"('PointH2HLast10', 'ShotTargetH2HLast10', 'RedLast20')",61.43344709897611
"('PointH2HLast10', 'GoalScoredH2HLast10', 'RedLast20')",61.43344709897611
"('ShotTargetLast20', 'PointH2HLast10')",61.774744027303754
"('ShotTargetH2HLast10', 'RedLast20')",61.774744027303754
"('PointH2HLast10', 'GoalScoredH2HLast10')",62.116040955631405
"('GoalScoredH2HLast10', 'ShotTargetH2HLast10')",62.116040955631405
"('PointH2HLast10', 'GoalScoredH2HLast10', 'GoalConcededH2HLast10')",62.116040955631405
"('GoalScoredH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededH2HLast10')",62.116040955631405
"('PointH2HLast10', 'ShotTargetH2HLast10')",62.116040955631405
"('RedH2HLast10',)",62.116040955631405
"('ShotTargetLast20', 'GoalConcededLast20')",62.45733788395904
"('ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededLast20')",62.45733788395904
"('GoalConcededLast20',)",62.45733788395904
"('PointH2HLast10', 'GoalConcededH2HLast10')",62.79863481228669
"('RedH2HLast10', 'RedLast20', 'GoalConcededH2HLast10')",62.79863481228669
"('PointH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededH2HLast10')",62.79863481228669
"('ShotTargetLast20', 'ShotTargetH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",62.79863481228669
"('PointH2HLast10', 'ShotTargetH2HLast10', 'GoalConcededH2HLast10')",63.13993174061433
"('PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10')",63.13993174061433
"('PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedLast20')",63.13993174061433
"('PointH2HLast10', 'GoalScoredH2HLast10', 'RedH2HLast10', 'GoalConcededLast20')",63.13993174061433
"('PointH2HLast10', 'RedLast20', 'GoalConcededH2HLast10')",63.48122866894198
"('GoalScoredH2HLast10', 'GoalConcededLast20')",63.48122866894198
"('GoalScoredH2HLast10', 'RedLast20')",63.48122866894198
"('RedLast20',)",63.48122866894198
"('GoalScoredH2HLast10', 'RedH2HLast10', 'RedLast20')",63.48122866894198
"('ShotTargetLast20', 'RedH2HLast10')",63.48122866894198
