Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast25,HomeTeamGoalScoredLast25,HomeTeamGoalConcededLast25,HomeTeamShotTargetLast25,HomeTeamRedLast25,AwayTeamPointLast25,AwayTeamGoalScoredLast25,AwayTeamGoalConcededLast25,AwayTeamShotTargetLast25,AwayTeamRedLast25,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,FTR_Prediction
2022-08-05,Crystal Palace,Arsenal,0,2,A,2,2,0,0,32,31,27,100,1,46,46,31,136,3,8,11,7,28,0,5,7,11,21,0,A
2022-08-06,Fulham,Liverpool,2,2,D,3,4,0,0,19,15,31,84,2,64,55,15,164,1,4,4,10,15,0,10,10,4,33,0,A
2022-08-06,Bournemouth,Aston Villa,2,0,H,3,2,0,0,25,25,39,81,3,29,34,33,115,1,9,6,4,15,1,3,4,6,16,0,H
2022-08-06,Leeds,Wolves,2,1,H,4,6,0,0,26,30,59,97,2,31,26,31,89,2,8,8,7,27,0,5,7,8,29,2,H
2022-08-06,Newcastle,Nottingham,2,0,H,10,0,0,0,43,29,33,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H
2022-08-06,Tottenham,Southampton,4,1,H,8,2,0,0,49,56,23,148,0,26,32,49,124,1,5,8,9,31,0,8,9,8,29,2,H
2022-08-06,Everton,Chelsea,0,1,A,4,6,0,0,24,27,46,87,5,44,45,28,137,0,8,4,4,15,0,5,4,4,39,0,A
2022-08-07,Leicester,Brentford,2,2,D,5,3,0,0,34,42,36,107,0,30,31,39,100,2,12,8,4,20,0,0,4,8,22,0,H
2022-08-07,Man United,Brighton,1,2,A,5,4,0,0,40,36,35,125,0,33,30,30,100,1,9,6,9,31,0,6,9,6,21,2,H
2022-08-07,West Ham,Man City,0,2,A,1,2,0,0,33,36,35,93,2,64,72,19,176,0,2,7,10,13,0,11,10,7,37,0,A
2022-08-13,Aston Villa,Everton,2,1,H,4,4,0,0,29,33,33,114,1,24,26,43,89,5,13,8,0,14,0,1,0,8,9,0,H
2022-08-13,Arsenal,Leicester,4,2,H,7,2,0,0,49,46,28,130,3,34,42,36,106,0,15,11,1,30,0,0,1,11,25,0,H
2022-08-13,Brighton,Newcastle,0,0,D,7,1,0,0,35,31,30,101,1,45,30,32,111,0,5,7,6,24,2,8,6,7,11,0,A
2022-08-13,Man City,Bournemouth,4,0,H,7,1,0,0,64,72,18,171,0,25,25,38,80,3,15,14,3,29,1,0,3,14,13,0,H
2022-08-13,Southampton,Leeds,2,2,D,4,5,0,0,25,31,51,119,1,26,31,60,98,2,8,4,4,25,0,5,4,4,13,0,H
2022-08-13,Wolves,Fulham,0,0,D,1,3,0,0,30,27,33,93,2,19,16,32,83,1,10,5,6,21,0,4,6,5,33,0,H
2022-08-13,Brentford,Man United,4,0,H,7,4,0,0,31,33,39,101,2,37,34,35,120,0,0,2,12,24,0,12,12,2,20,0,H
2022-08-14,Nottingham,West Ham,1,0,H,6,5,0,0,0,0,2,0,0,32,35,36,88,2,0,0,0,0,0,0,0,0,0,0,H
2022-08-14,Chelsea,Tottenham,2,2,D,3,5,0,0,44,44,27,139,0,49,57,24,149,0,15,11,0,36,0,0,0,11,12,0,A
2022-08-15,Liverpool,Crystal Palace,1,1,D,4,3,1,0,62,53,16,161,1,32,31,28,101,1,15,14,2,39,0,0,2,14,18,0,H
2022-08-20,Tottenham,Wolves,1,0,H,4,3,0,0,49,57,24,149,0,31,27,32,93,2,9,4,4,39,0,6,4,4,29,0,H
2022-08-20,Crystal Palace,Aston Villa,3,1,H,9,5,0,0,33,32,28,102,1,29,33,33,114,1,5,7,8,22,0,8,8,7,19,0,H
2022-08-20,Everton,Nottingham,1,1,D,8,5,0,0,21,25,44,88,5,3,1,2,6,0,0,0,0,0,0,0,0,0,0,0,A
2022-08-20,Fulham,Brentford,3,2,H,9,5,0,0,19,16,32,85,1,33,35,37,105,2,0,0,0,0,0,0,0,0,0,0,A
2022-08-20,Leicester,Southampton,1,2,A,1,3,0,0,34,43,38,103,0,25,32,52,119,1,9,13,7,33,0,3,7,13,21,1,H
2022-08-20,Bournemouth,Arsenal,0,3,A,1,6,0,0,25,24,39,74,3,52,49,28,134,3,4,4,8,17,0,10,8,4,19,0,A
2022-08-21,Leeds,Chelsea,3,0,H,6,3,0,1,26,31,60,97,2,45,44,26,135,0,1,4,12,14,2,13,12,4,28,0,A
2022-08-21,West Ham,Brighton,0,2,A,3,2,0,0,29,32,35,88,2,35,30,29,104,1,3,5,9,19,0,9,9,5,22,0,H
2022-08-21,Newcastle,Man City,3,3,D,6,10,0,0,43,29,32,108,0,64,73,17,165,0,0,3,22,13,0,15,22,3,38,0,A
2022-08-22,Man United,Liverpool,2,1,H,4,5,0,0,34,33,39,121,0,60,53,17,160,2,0,2,22,13,2,15,22,2,34,0,A
2022-08-27,Southampton,Man United,0,1,A,5,6,0,0,28,34,50,116,1,34,34,40,120,0,4,4,13,15,2,7,13,4,38,0,H
2022-08-27,Brentford,Everton,1,1,D,5,7,0,0,30,35,39,105,2,22,25,42,90,5,12,8,4,22,0,0,4,8,20,4,H
2022-08-27,Brighton,Leeds,1,0,H,4,2,0,0,38,32,28,104,1,29,32,57,98,2,7,4,2,25,0,4,2,4,20,0,H
2022-08-27,Chelsea,Leicester,2,1,H,3,5,1,0,42,41,27,132,1,31,40,40,99,0,11,10,3,34,0,2,3,10,11,0,H
2022-08-27,Liverpool,Bournemouth,9,0,H,12,2,0,0,57,53,19,160,2,25,23,39,73,3,13,16,2,35,0,1,2,16,7,0,H
2022-08-27,Man City,Crystal Palace,4,2,H,5,2,0,0,62,75,20,165,0,33,32,28,105,1,5,2,4,17,2,8,4,2,12,0,H
2022-08-27,Arsenal,Fulham,2,1,H,8,3,0,0,52,49,28,135,3,21,18,33,90,1,13,14,3,33,0,1,3,14,16,0,H
2022-08-28,Aston Villa,West Ham,0,1,A,3,2,0,0,29,34,35,119,1,28,32,37,88,2,0,5,15,22,2,15,15,5,36,0,H
2022-08-28,Wolves,Newcastle,1,1,D,4,6,0,0,31,27,32,95,1,44,32,31,111,0,7,5,5,14,0,7,5,5,19,0,H
2022-08-28,Nottingham,Tottenham,0,2,A,1,7,0,0,4,2,3,11,0,49,55,24,147,0,0,0,0,0,0,0,0,0,0,0,A
2022-08-30,Crystal Palace,Brentford,1,1,D,4,3,0,0,32,32,30,101,1,31,36,38,104,2,4,0,0,10,0,4,0,0,10,0,H
2022-08-30,Fulham,Brighton,2,1,H,3,4,0,0,21,19,34,90,0,38,31,28,103,1,3,2,2,12,0,3,2,2,14,0,A
2022-08-30,Southampton,Chelsea,2,1,H,7,4,0,0,27,32,49,117,1,44,42,27,125,2,1,3,19,7,2,13,19,3,49,0,A
2022-08-30,Leeds,Everton,1,1,D,5,2,0,0,29,32,51,97,2,22,25,42,94,5,2,5,12,15,0,11,12,5,42,0,H
2022-08-31,Arsenal,Aston Villa,2,1,H,9,3,0,0,52,49,29,135,3,26,32,36,116,1,12,8,3,27,0,3,3,8,18,0,H
2022-08-31,Bournemouth,Wolves,0,0,D,2,4,0,0,22,20,47,69,3,29,27,33,94,1,0,1,2,2,1,3,2,1,7,0,H
2022-08-31,Man City,Nottingham,6,0,H,9,1,0,0,62,72,22,155,0,4,2,5,12,0,0,0,0,0,0,0,0,0,0,0,H
2022-08-31,West Ham,Tottenham,1,1,D,4,4,0,0,31,33,35,89,1,51,56,23,143,0,9,6,7,14,0,6,7,6,20,0,A
2022-08-31,Liverpool,Newcastle,2,1,H,6,2,0,0,57,59,18,164,2,45,32,29,115,0,13,9,3,45,0,1,3,9,12,0,H
2022-09-01,Leicester,Man United,0,1,A,2,2,0,0,31,38,36,96,0,36,34,39,122,0,11,12,7,31,0,2,7,12,23,0,A
2022-09-03,Everton,Liverpool,0,0,D,3,8,0,0,23,24,40,90,5,59,59,17,164,1,3,4,12,12,0,12,12,4,28,0,A
2022-09-03,Brentford,Leeds,5,2,H,8,6,0,0,32,37,38,105,2,30,32,48,100,2,2,6,8,16,2,8,8,6,24,0,H
2022-09-03,Chelsea,West Ham,2,1,H,3,3,0,0,43,43,29,128,2,32,32,33,88,1,9,7,6,30,0,6,6,7,16,3,H
2022-09-03,Newcastle,Crystal Palace,0,0,D,6,9,0,0,45,33,27,116,0,33,33,28,105,0,8,5,4,17,0,5,4,5,13,0,H
2022-09-03,Nottingham,Bournemouth,2,3,A,3,3,0,0,4,2,11,13,0,20,17,46,68,3,0,0,0,0,0,0,0,0,0,0,H
2022-09-03,Tottenham,Fulham,2,1,H,10,3,0,0,49,56,24,138,0,24,20,33,88,0,13,10,4,29,0,1,4,10,20,0,H
2022-09-03,Wolves,Southampton,1,0,H,2,1,0,0,29,27,33,97,1,27,31,48,118,1,15,10,3,20,0,0,3,10,35,0,H
2022-09-03,Aston Villa,Man City,1,1,D,1,4,0,0,26,32,35,118,1,62,74,22,157,0,0,7,12,13,1,15,12,7,27,1,A
2022-09-04,Brighton,Leicester,5,2,H,11,4,0,0,37,31,29,101,1,28,37,37,97,0,8,7,6,22,0,5,6,7,20,0,H
2022-09-04,Man United,Arsenal,3,1,H,6,3,0,0,36,32,38,118,0,52,47,29,132,3,7,8,10,33,0,7,10,8,33,0,A
2022-09-16,Aston Villa,Southampton,1,0,H,3,1,0,0,27,32,34,114,1,26,30,48,117,0,9,9,2,28,0,6,2,9,13,0,H
2022-09-16,Nottingham,Fulham,2,3,A,3,7,0,0,4,4,14,16,0,23,21,35,88,0,0,0,0,0,0,0,0,0,0,0,H
2022-09-17,Wolves,Man City,0,3,A,1,7,1,0,29,27,33,93,1,60,69,20,152,0,0,3,16,9,2,15,16,3,40,0,A
2022-09-17,Newcastle,Bournemouth,1,1,D,7,3,0,0,45,32,26,114,0,22,18,46,66,3,7,7,8,26,0,7,8,7,23,0,H
2022-09-17,Tottenham,Leicester,6,2,H,11,7,0,0,49,55,23,138,0,28,37,39,97,0,15,16,8,38,0,0,8,16,18,0,H
2022-09-18,Brentford,Arsenal,0,3,A,2,7,0,0,32,40,39,109,2,49,43,32,129,3,6,6,4,10,0,6,4,6,24,0,A
2022-09-18,Everton,West Ham,1,0,H,2,4,0,0,24,23,38,88,5,29,29,34,85,1,3,3,6,11,2,12,6,3,18,0,A
2022-10-01,Arsenal,Tottenham,3,1,H,9,3,0,1,52,45,30,134,2,52,61,23,146,0,9,8,9,25,2,6,9,8,23,1,H
2022-10-01,Bournemouth,Brentford,0,0,D,1,4,0,0,23,19,46,67,3,32,39,38,107,2,0,0,0,0,0,0,0,0,0,0,A
2022-10-01,Crystal Palace,Chelsea,1,2,A,3,3,0,0,31,30,28,108,0,43,42,29,127,2,0,1,12,3,0,15,12,1,28,0,A
2022-10-01,Fulham,Newcastle,1,4,A,1,10,1,0,25,22,35,88,0,45,32,26,120,0,4,2,5,12,1,10,5,2,31,0,A
2022-10-01,Liverpool,Brighton,3,3,D,7,6,0,0,60,59,16,168,1,37,33,29,107,1,8,8,5,25,0,5,5,8,22,0,H
