Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast30,HomeTeamGoalScoredLast30,HomeTeamGoalConcededLast30,HomeTeamShotTargetLast30,HomeTeamRedLast30,HomeTeamRatingLast30,AwayTeamPointLast30,AwayTeamGoalScoredLast30,AwayTeamGoalConcededLast30,AwayTeamShotTargetLast30,AwayTeamRedLast30,AwayTeamRatingLast30,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,HomeTeamWin%H2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,AwayTeamWin%H2HLast10,FTR_Prediction
2022-08-05,Crystal Palace,Arsenal,0,2,A,2,2,0,0,40,40,33,123,1,13.400000000000002,58,54,36,165,3,15.20000000000001,12,17,16,45,0,20.0,12,16,17,47,1,20.0,A
2022-08-06,Fulham,Liverpool,2,2,D,3,4,0,0,24,20,38,105,2,4.400000000000004,74,72,20,195,1,25.00000000000001,10,9,22,53,0,30.0,19,22,9,84,1,60.0,A
2022-08-06,Bournemouth,Aston Villa,2,0,H,3,2,0,0,29,30,50,94,3,7.900000000000001,35,40,42,133,2,10.400000000000004,9,6,4,15,1,75.0,3,4,6,16,0,25.0,H
2022-08-06,Leeds,Wolves,2,1,H,4,6,0,0,32,35,64,123,2,9.200000000000005,39,30,35,106,2,7.400000000000004,11,13,12,41,1,37.5,11,12,13,41,2,37.5,H
2022-08-06,Newcastle,Nottingham,2,0,H,10,0,0,0,46,34,43,120,0,20.000000000000007,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,A
2022-08-06,Tottenham,Southampton,4,1,H,8,2,0,0,56,60,28,162,0,20.8,33,37,57,140,1,4.900000000000004,15,19,15,56,1,40.0,12,15,19,54,2,30.0,H
2022-08-06,Everton,Chelsea,0,1,A,4,6,0,0,25,30,57,104,6,12.7,55,60,30,173,0,14.800000000000004,16,8,7,27,0,40.0,10,7,8,65,0,20.0,A
2022-08-07,Leicester,Brentford,2,2,D,5,3,0,0,41,49,45,135,0,14.400000000000004,34,38,49,125,2,15.8,12,8,4,20,0,100.0,0,4,8,22,0,0.0,H
2022-08-07,Man United,Brighton,1,2,A,5,4,0,0,44,41,47,139,2,10.300000000000008,36,34,39,122,2,15.500000000000002,18,15,16,55,0,60.0,12,16,15,37,2,40.0,H
2022-08-07,West Ham,Man City,0,2,A,1,2,0,0,42,45,41,115,2,8.900000000000006,76,83,23,214,1,21.800000000000008,3,9,26,20,0,0.0,24,26,9,73,0,70.0,A
2022-08-13,Aston Villa,Everton,2,1,H,4,4,0,0,35,39,41,131,2,8.200000000000003,25,28,53,104,6,11.1,22,16,10,34,0,70.0,7,10,16,34,0,20.0,H
2022-08-13,Arsenal,Leicester,4,2,H,7,2,0,0,58,53,35,158,3,16.90000000000001,39,49,46,134,0,14.8,21,19,11,58,1,70.0,9,11,19,49,0,30.0,H
2022-08-13,Brighton,Newcastle,0,0,D,7,1,0,0,39,35,36,121,2,16.50000000000001,48,35,42,128,0,20.800000000000004,16,12,6,41,3,40.0,10,6,12,28,0,20.0,H
2022-08-13,Man City,Bournemouth,4,0,H,7,1,0,0,76,81,22,202,1,22.600000000000012,32,31,48,92,3,9.0,24,27,4,59,2,100.0,0,4,27,18,0,0.0,H
2022-08-13,Southampton,Leeds,2,2,D,4,5,0,0,32,36,59,138,1,4.100000000000003,34,36,64,123,2,11.400000000000002,16,10,11,55,0,40.0,10,11,10,46,1,20.0,H
2022-08-13,Wolves,Fulham,0,0,D,1,3,0,0,38,30,36,108,2,5.700000000000006,25,20,37,102,2,4.3000000000000025,18,10,10,44,1,50.0,9,10,10,53,0,20.0,H
2022-08-13,Brentford,Man United,4,0,H,7,4,0,0,35,39,49,123,2,14.800000000000002,44,42,44,140,1,8.600000000000003,0,2,12,24,0,0.0,12,12,2,20,0,100.0,H
2022-08-14,Nottingham,West Ham,1,0,H,6,5,0,0,0,0,2,0,0,0.0,39,44,43,112,2,7.700000000000006,0,0,0,0,0,0.0,0,0,0,0,0,0.0,H
2022-08-14,Chelsea,Tottenham,2,2,D,3,5,0,0,55,54,30,166,0,17.30000000000001,59,64,28,166,0,21.200000000000003,22,17,7,50,0,70.0,7,7,17,36,1,20.0,H
2022-08-15,Liverpool,Crystal Palace,1,1,D,4,3,1,0,72,69,22,191,1,24.000000000000018,39,39,34,122,1,12.300000000000004,30,28,4,76,0,100.0,0,4,28,33,1,0.0,H
2022-08-20,Tottenham,Wolves,1,0,H,4,3,0,0,60,66,27,171,0,19.20000000000001,36,28,35,105,2,6.500000000000002,20,13,9,76,0,60.0,8,9,13,56,0,20.0,H
2022-08-20,Crystal Palace,Aston Villa,3,1,H,9,5,0,0,37,38,35,122,1,12.4,38,40,38,132,1,9.900000000000004,12,10,13,40,0,30.0,15,13,10,39,2,40.0,H
2022-08-20,Everton,Nottingham,1,1,D,8,5,0,0,25,28,53,103,6,10.2,3,1,2,6,0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,A
2022-08-20,Fulham,Brentford,3,2,H,9,5,0,0,23,18,36,100,2,5.500000000000002,38,42,46,125,2,16.40000000000001,0,0,0,0,0,0.0,0,0,0,0,0,0.0,A
2022-08-20,Leicester,Southampton,1,2,A,1,3,0,0,39,51,48,128,0,12.800000000000002,30,37,61,141,1,4.600000000000003,19,27,10,66,0,50.0,7,10,27,44,3,10.0,H
2022-08-20,Bournemouth,Arsenal,0,3,A,1,6,0,0,32,30,49,92,3,8.000000000000002,58,55,37,160,3,18.40000000000001,5,8,18,33,1,11.11111111111111,20,18,8,37,0,66.66666666666666,A
2022-08-21,Leeds,Chelsea,3,0,H,6,3,0,1,32,36,65,122,2,12.0,53,53,32,163,0,16.300000000000004,5,10,20,30,2,10.0,23,20,10,69,0,70.0,A
2022-08-21,West Ham,Brighton,0,2,A,3,2,0,0,36,40,43,108,2,7.700000000000005,39,33,34,122,2,16.400000000000002,6,12,19,37,0,0.0,18,19,12,45,0,40.0,H
2022-08-21,Newcastle,Man City,3,3,D,6,10,0,0,49,35,39,128,0,19.90000000000001,79,85,20,206,0,21.70000000000001,1,7,32,26,0,0.0,28,32,7,76,0,90.0,A
2022-08-22,Man United,Liverpool,2,1,H,4,5,0,0,41,39,48,140,1,7.400000000000004,72,68,21,192,2,21.600000000000012,6,5,26,26,2,10.0,21,26,5,53,0,60.0,A
2022-08-27,Southampton,Man United,0,1,A,5,6,0,0,30,38,62,141,1,7.900000000000001,44,41,47,143,1,8.700000000000003,7,9,20,35,3,0.0,16,20,9,64,0,30.0,A
2022-08-27,Brentford,Everton,1,1,D,5,7,0,0,38,43,47,123,2,14.300000000000002,25,29,54,109,5,10.100000000000003,12,8,4,22,0,100.0,0,4,8,20,4,0.0,H
2022-08-27,Brighton,Leeds,1,0,H,4,2,0,0,41,34,33,119,1,17.6,34,38,64,123,2,14.000000000000002,10,5,2,27,0,33.33333333333333,4,2,5,22,0,0.0,H
2022-08-27,Chelsea,Leicester,2,1,H,3,5,1,0,52,52,34,162,1,14.800000000000017,38,51,49,126,0,11.400000000000002,17,15,9,60,0,40.0,8,9,15,27,1,10.0,H
2022-08-27,Liverpool,Bournemouth,9,0,H,12,2,0,0,72,67,20,192,2,18.30000000000001,29,28,51,91,3,7.300000000000006,19,22,7,46,0,75.0,4,7,22,22,0,12.5,H
2022-08-27,Man City,Crystal Palace,4,2,H,5,2,0,0,77,86,23,211,0,20.500000000000007,37,39,36,125,1,15.400000000000002,16,15,6,52,2,40.0,10,6,15,18,0,20.0,H
2022-08-27,Arsenal,Fulham,2,1,H,8,3,0,0,58,57,37,160,3,20.100000000000005,26,21,36,108,2,7.299999999999999,19,22,11,77,2,50.0,7,11,22,46,2,10.0,H
2022-08-28,Aston Villa,West Ham,0,1,A,3,2,0,0,38,41,40,134,1,7.700000000000001,33,37,43,108,2,6.800000000000004,5,8,20,48,3,10.0,23,20,8,50,1,70.0,H
2022-08-28,Wolves,Newcastle,1,1,D,4,6,0,0,36,28,34,106,2,4.400000000000004,49,37,41,133,0,18.50000000000001,14,12,11,38,0,30.0,11,11,12,36,2,20.0,A
2022-08-28,Nottingham,Tottenham,0,2,A,1,7,0,0,4,2,3,11,0,4.0,62,67,27,175,0,19.800000000000008,0,0,0,0,0,0.0,0,0,0,0,0,0.0,A
2022-08-30,Crystal Palace,Brentford,1,1,D,4,3,0,0,36,38,37,119,1,13.700000000000005,38,41,45,124,2,14.100000000000003,4,0,0,10,0,0.0,4,0,0,10,0,0.0,H
2022-08-30,Fulham,Brighton,2,1,H,3,4,0,0,25,21,37,106,2,6.700000000000001,44,35,31,121,1,19.000000000000004,3,2,2,12,0,0.0,3,2,2,14,0,0.0,A
2022-08-30,Southampton,Chelsea,2,1,H,7,4,0,0,30,37,61,141,1,6.100000000000003,52,51,35,158,2,16.00000000000001,5,11,32,32,2,10.0,23,32,11,75,0,70.0,A
2022-08-30,Leeds,Everton,1,1,D,5,2,0,0,34,37,63,118,2,12.300000000000004,26,30,52,115,5,10.200000000000005,6,7,20,38,0,10.0,21,20,7,75,0,60.0,H
2022-08-31,Arsenal,Aston Villa,2,1,H,9,3,0,0,61,59,34,165,3,20.100000000000005,35,39,41,132,1,7.600000000000001,24,22,8,54,1,80.0,6,8,22,39,0,20.0,H
2022-08-31,Bournemouth,Wolves,0,0,D,2,4,0,0,29,28,56,91,3,6.300000000000004,34,28,35,105,2,5.400000000000002,0,1,2,2,1,0.0,3,2,1,7,0,100.0,H
2022-08-31,Man City,Nottingham,6,0,H,9,1,0,0,77,87,25,209,0,20.80000000000001,4,2,5,12,0,3.7,0,0,0,0,0,0.0,0,0,0,0,0,0.0,H
2022-08-31,West Ham,Tottenham,1,1,D,4,4,0,0,36,38,42,107,2,8.600000000000001,62,67,26,178,0,21.20000000000001,11,14,18,31,0,30.0,17,18,14,47,1,50.0,A
2022-08-31,Liverpool,Newcastle,2,1,H,6,2,0,0,72,72,20,195,2,18.900000000000013,49,35,39,130,0,18.00000000000001,22,17,7,67,0,60.0,4,7,17,25,0,0.0,H
2022-09-01,Leicester,Man United,0,1,A,2,2,0,0,38,52,48,128,0,9.400000000000004,47,41,43,146,0,9.3,13,17,16,47,1,30.0,13,16,17,51,0,30.0,A
2022-09-03,Everton,Liverpool,0,0,D,3,8,0,0,27,31,52,112,5,9.6,72,70,21,195,2,20.10000000000001,6,9,21,27,1,10.0,21,21,9,50,0,60.0,A
2022-09-03,Brentford,Leeds,5,2,H,8,6,0,0,36,41,46,123,2,14.500000000000002,34,38,64,119,2,12.100000000000003,2,6,8,16,2,0.0,8,8,6,24,0,50.0,H
2022-09-03,Chelsea,West Ham,2,1,H,3,3,0,0,51,51,36,156,2,14.600000000000003,37,38,41,108,2,7.5000000000000036,14,11,9,57,0,40.0,14,9,11,25,3,40.0,H
2022-09-03,Newcastle,Crystal Palace,0,0,D,6,9,0,0,49,36,39,127,0,15.100000000000009,37,38,36,120,1,13.200000000000005,19,10,5,41,0,50.0,7,5,10,30,0,10.0,H
2022-09-03,Nottingham,Bournemouth,2,3,A,3,3,0,0,4,2,11,13,0,3.6,29,27,55,90,3,5.900000000000002,0,0,0,0,0,0.0,0,0,0,0,0,0.0,H
2022-09-03,Tottenham,Fulham,2,1,H,10,3,0,0,60,66,27,176,0,20.60000000000001,27,23,38,105,2,8.7,25,19,6,67,0,80.0,4,6,19,55,0,10.0,H
2022-09-03,Wolves,Southampton,1,0,H,2,1,0,0,34,28,35,107,2,4.8000000000000025,33,39,58,145,1,7.900000000000002,23,18,11,43,0,70.0,5,11,18,63,0,10.0,A
2022-09-03,Aston Villa,Man City,1,1,D,1,4,0,0,32,38,42,132,1,6.900000000000002,77,91,24,209,0,21.80000000000001,1,8,27,24,1,0.0,28,27,8,69,2,90.0,A
2022-09-04,Brighton,Leicester,5,2,H,11,4,0,0,43,36,33,121,1,17.000000000000004,35,48,47,122,0,9.100000000000003,9,8,16,34,0,20.0,18,16,8,46,2,50.0,H
2022-09-04,Man United,Arsenal,3,1,H,6,3,0,0,49,41,42,146,0,10.8,61,59,35,168,3,21.800000000000004,12,13,17,53,0,30.0,15,17,13,51,0,40.0,A
2022-09-16,Aston Villa,Southampton,1,0,H,3,1,0,0,33,38,41,130,1,6.600000000000005,32,37,57,139,1,6.600000000000005,10,17,20,57,0,30.0,19,20,17,48,0,60.0,H
2022-09-16,Nottingham,Fulham,2,3,A,3,7,0,0,4,4,14,16,0,3.3000000000000003,26,23,39,104,1,8.200000000000001,0,0,0,0,0,0.0,0,0,0,0,0,0.0,H
2022-09-17,Wolves,Man City,0,3,A,1,7,1,0,36,29,35,107,2,7.0000000000000036,75,90,24,206,0,20.10000000000001,7,10,24,26,2,20.0,22,24,10,69,1,70.0,A
2022-09-17,Newcastle,Bournemouth,1,1,D,7,3,0,0,49,35,38,132,0,14.600000000000003,29,28,56,89,3,9.400000000000002,10,8,8,27,0,50.0,7,8,8,28,0,33.33333333333333,H
2022-09-17,Tottenham,Leicester,6,2,H,11,7,0,0,60,65,28,179,0,22.000000000000018,34,48,50,120,0,7.600000000000003,21,25,18,59,0,70.0,9,18,25,45,0,30.0,H
2022-09-18,Brentford,Arsenal,0,3,A,2,7,0,0,39,46,46,129,2,15.800000000000006,61,58,35,163,3,18.500000000000004,6,6,4,10,0,50.0,6,4,6,24,0,50.0,A
2022-09-18,Everton,West Ham,1,0,H,2,4,0,0,28,30,48,113,5,9.6,36,38,42,105,2,6.5000000000000036,7,8,14,37,2,20.0,22,14,8,41,0,70.0,A
2022-10-01,Arsenal,Tottenham,3,1,H,9,3,0,1,64,60,33,167,3,18.700000000000006,62,69,28,185,0,22.600000000000016,16,16,16,48,2,50.0,13,16,16,51,2,40.0,H
2022-10-01,Bournemouth,Brentford,0,0,D,1,4,0,0,30,28,54,85,3,8.500000000000004,38,44,47,128,2,14.400000000000004,0,0,0,0,0,0.0,0,0,0,0,0,0.0,H
2022-10-01,Crystal Palace,Chelsea,1,2,A,3,3,0,0,38,38,35,128,1,12.1,51,51,36,155,2,15.800000000000008,3,5,24,13,0,10.0,27,24,5,61,0,90.0,A
2022-10-01,Fulham,Newcastle,1,4,A,1,10,1,0,28,26,41,110,1,10.000000000000002,47,35,39,135,0,14.200000000000006,14,11,10,52,1,40.0,14,10,11,72,0,40.0,A
2022-10-01,Liverpool,Brighton,3,3,D,7,6,0,0,70,66,20,196,2,18.70000000000001,45,40,34,129,1,18.6,21,21,8,59,1,60.0,6,8,21,35,0,10.0,H
2022-10-01,Southampton,Everton,1,2,A,6,5,0,0,31,36,57,136,1,5.600000000000003,28,29,47,110,5,12.400000000000004,13,15,13,52,1,40.0,16,13,15,32,1,50.0,H
2022-10-01,West Ham,Wolves,2,0,H,5,4,0,0,33,35,41,104,2,5.8000000000000025,36,29,37,107,3,4.900000000000002,16,12,8,46,0,50.0,13,8,12,47,0,40.0,H
2022-10-02,Man City,Man United,6,3,H,10,8,0,0,75,90,23,200,0,21.10000000000001,49,41,41,142,0,12.600000000000003,19,20,11,61,0,60.0,10,11,20,31,0,30.0,A
2022-10-02,Leeds,Aston Villa,0,0,D,1,7,1,0,31,39,69,122,2,11.900000000000002,33,37,40,129,1,9.200000000000005,10,12,16,45,0,20.0,16,16,12,56,2,40.0,H
2022-10-03,Leicester,Nottingham,4,0,H,7,3,0,0,34,49,54,122,0,6.100000000000003,4,6,17,19,0,3.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,H
2022-10-08,Bournemouth,Leicester,2,1,H,4,5,0,0,31,27,51,84,3,8.500000000000005,34,49,54,124,0,8.700000000000003,11,9,8,23,1,25.0,8,8,9,31,1,12.5,A
2022-10-08,Chelsea,Wolves,3,0,H,7,2,0,0,54,51,34,151,2,17.000000000000004,36,29,38,110,2,3.4000000000000035,14,16,11,52,0,30.0,11,11,16,27,0,20.0,H
2022-10-08,Man City,Southampton,4,0,H,8,0,0,0,75,95,26,200,0,21.60000000000001,31,37,56,136,1,3.9000000000000026,22,19,7,53,0,60.0,4,7,19,33,0,0.0,H
2022-10-08,Newcastle,Brentford,5,1,H,6,3,0,0,50,39,36,142,0,15.200000000000005,36,42,46,127,2,14.900000000000002,8,10,6,40,0,50.0,2,6,10,10,2,0.0,H
2022-10-08,Brighton,Tottenham,0,1,A,4,3,0,0,45,42,36,131,1,17.700000000000003,59,67,31,182,1,21.000000000000007,13,10,11,37,0,40.0,16,11,10,42,0,50.0,A
2022-10-09,Crystal Palace,Leeds,2,1,H,5,4,0,0,38,39,36,129,1,10.500000000000002,31,37,67,117,3,11.700000000000005,5,4,5,25,0,16.666666666666664,11,5,4,20,0,50.0,H
2022-10-09,West Ham,Fulham,3,1,H,8,2,0,0,35,37,41,106,2,7.900000000000003,27,26,44,107,2,9.6,15,17,12,66,2,40.0,12,12,17,55,1,30.0,H
2022-10-09,Arsenal,Liverpool,3,2,H,7,3,0,0,64,60,34,171,3,19.9,68,68,23,198,2,17.900000000000006,2,6,29,26,0,0.0,26,29,6,67,0,80.0,A
2022-10-09,Everton,Man United,1,2,A,2,4,0,0,31,30,45,109,5,14.300000000000006,46,43,47,147,0,11.900000000000006,10,10,17,26,0,20.0,16,17,10,61,0,40.0,A
2022-10-10,Nottingham,Aston Villa,1,1,D,3,2,0,0,4,6,21,22,0,2.9000000000000004,34,37,39,136,1,8.800000000000004,0,0,0,0,0,0.0,0,0,0,0,0,0.0,H
2022-10-14,Brentford,Brighton,2,0,H,3,7,0,0,36,43,49,124,2,13.100000000000003,45,42,36,133,1,15.600000000000003,0,0,6,14,0,0.0,12,6,0,14,0,100.0,H
2022-10-15,Leicester,Crystal Palace,0,0,D,5,1,0,0,34,47,50,121,0,7.200000000000005,38,38,36,128,1,12.800000000000002,16,15,18,34,2,40.0,10,18,15,39,0,20.0,H
2022-10-15,Fulham,Bournemouth,2,2,D,4,6,0,0,27,27,46,106,1,7.700000000000005,31,26,51,82,3,11.000000000000002,0,0,3,1,1,0.0,3,3,0,5,0,100.0,A
2022-10-15,Wolves,Nottingham,1,0,H,2,2,0,0,33,28,41,107,2,2.8000000000000043,5,7,22,25,0,3.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,H
2022-10-15,Tottenham,Everton,2,0,H,7,0,0,0,61,67,30,174,1,21.40000000000001,30,30,46,108,5,13.1,19,23,6,47,1,50.0,7,6,23,23,2,10.0,H
2022-10-16,Aston Villa,Chelsea,0,2,A,7,4,0,0,32,36,40,132,1,9.400000000000004,54,51,32,152,2,18.200000000000006,4,7,24,28,1,10.0,25,24,7,53,1,80.0,A
2022-10-16,Leeds,Arsenal,0,1,A,4,4,0,0,31,36,66,116,3,10.300000000000002,64,61,36,170,3,21.3,4,11,31,33,2,10.0,25,31,11,89,1,80.0,A
2022-10-16,Man United,Newcastle,0,0,D,2,2,0,0,46,44,48,146,0,13.700000000000005,53,43,34,146,0,15.500000000000002,20,24,11,72,0,60.0,8,11,24,47,0,20.0,H
2022-10-16,Southampton,West Ham,1,1,D,8,4,0,0,30,35,58,132,1,3.000000000000003,38,40,40,113,1,9.000000000000002,12,10,16,40,0,30.0,15,16,10,47,3,40.0,A
2022-10-16,Liverpool,Man City,1,0,H,2,6,0,0,65,69,26,196,2,15.70000000000001,75,92,26,193,0,22.60000000000001,12,17,22,39,1,20.0,12,22,17,39,0,20.0,H
2022-10-18,Brighton,Nottingham,0,0,D,7,0,0,0,42,40,38,135,1,14.7,5,7,23,27,0,3.5000000000000004,0,0,0,0,0,0.0,0,0,0,0,0,0.0,H
2022-10-18,Crystal Palace,Wolves,2,1,H,4,4,0,0,38,36,34,123,1,12.700000000000005,35,29,41,108,2,4.8000000000000025,16,10,4,40,1,62.5,7,4,10,29,1,25.0,H
2022-10-19,Bournemouth,Southampton,0,1,A,3,3,0,0,29,25,52,85,3,12.400000000000002,28,33,57,134,1,3.800000000000001,9,8,9,31,0,25.0,12,9,8,35,1,37.5,H
2022-10-19,Brentford,Chelsea,0,0,D,5,5,0,0,39,45,48,125,2,14.300000000000004,56,52,31,146,2,19.6,6,8,4,26,0,50.0,6,4,8,18,0,50.0,A
2022-10-19,Liverpool,West Ham,1,0,H,7,3,0,0,65,67,25,190,2,17.100000000000005,39,39,38,112,1,8.400000000000004,24,25,10,62,0,80.0,6,10,25,32,0,20.0,H
2022-10-19,Newcastle,Everton,1,0,H,4,0,0,0,54,43,30,147,0,14.200000000000005,30,28,45,102,5,11.7,14,14,11,51,0,40.0,14,11,14,40,2,40.0,H
2022-10-19,Man United,Tottenham,2,0,H,10,2,0,0,46,43,47,144,0,13.3,61,68,30,172,1,23.100000000000005,21,19,17,47,1,70.0,9,17,19,37,0,30.0,A
2022-10-20,Fulham,Aston Villa,3,0,H,8,6,0,1,28,28,46,105,1,7.900000000000002,32,35,39,138,1,7.9,13,10,12,68,0,30.0,13,12,10,50,0,30.0,A
2022-10-20,Leicester,Leeds,2,0,H,1,2,0,0,32,46,50,125,0,7.800000000000001,31,36,60,117,3,8.600000000000003,15,17,13,59,0,40.0,12,13,17,56,1,30.0,H
2022-10-22,Nottingham,Liverpool,1,0,H,7,7,0,0,6,7,23,27,0,4.300000000000001,67,66,23,191,1,17.20000000000001,0,0,0,0,0,0.0,0,0,0,0,0,0.0,A
2022-10-22,Everton,Crystal Palace,3,0,H,6,2,0,0,30,27,44,97,5,10.100000000000003,41,38,32,127,0,13.500000000000004,20,19,14,56,1,60.0,8,14,19,40,0,20.0,H
2022-10-22,Man City,Brighton,3,1,H,4,2,0,0,72,88,27,192,0,20.100000000000012,42,39,37,136,1,14.100000000000003,27,28,6,73,1,90.0,3,6,28,27,0,10.0,H
