Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast40,HomeTeamGoalScoredLast40,HomeTeamGoalConcededLast40,HomeTeamShotTargetLast40,HomeTeamRedLast40,AwayTeamPointLast40,AwayTeamGoalScoredLast40,AwayTeamGoalConcededLast40,AwayTeamShotTargetLast40,AwayTeamRedLast40,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,FTR_Prediction
2022-08-05,Crystal Palace,Arsenal,0,2,A,2,2,0,0,51,53,49,155,1,72,66,51,208,4,8,11,7,28,0,5,7,11,21,0,A
2022-08-06,Fulham,Liverpool,2,2,D,3,4,0,0,29,29,58,147,4,98,99,28,269,1,4,4,10,15,0,10,10,4,33,0,A
2022-08-06,Bournemouth,Aston Villa,2,0,H,3,2,0,0,43,47,65,140,4,46,55,58,173,2,9,6,4,15,1,3,4,6,16,0,H
2022-08-06,Leeds,Wolves,2,1,H,4,6,0,0,42,45,81,165,3,52,40,47,145,2,8,8,7,27,0,5,7,8,29,2,D
2022-08-06,Newcastle,Nottingham,2,0,H,10,0,0,0,55,48,63,158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H
2022-08-06,Tottenham,Southampton,4,1,H,8,2,0,0,77,75,40,219,1,40,45,73,174,2,5,8,9,31,0,8,9,8,29,2,H
2022-08-06,Everton,Chelsea,0,1,A,4,6,0,0,42,47,73,146,6,78,79,35,226,1,8,4,4,15,0,5,4,4,39,0,A
2022-08-07,Leicester,Brentford,2,2,D,5,3,0,0,56,67,61,176,1,49,52,60,166,4,12,8,4,20,0,0,4,8,22,0,H
2022-08-07,Man United,Brighton,1,2,A,5,4,0,0,58,57,62,196,2,55,46,46,165,2,9,6,9,31,0,6,9,6,21,2,A
2022-08-07,West Ham,Man City,0,2,A,1,2,0,0,57,63,56,162,3,97,104,30,267,1,2,7,10,13,0,11,10,7,37,0,A
2022-08-13,Aston Villa,Everton,2,1,H,4,4,0,0,45,54,59,166,2,39,44,72,144,6,13,8,0,14,0,1,0,8,9,0,H
2022-08-13,Arsenal,Leicester,4,2,H,7,2,0,0,75,68,49,208,4,56,68,62,180,1,15,11,1,30,0,0,1,11,25,0,H
2022-08-13,Brighton,Newcastle,0,0,D,7,1,0,0,57,47,46,163,2,55,48,63,164,1,5,7,6,24,2,8,6,7,11,0,D
2022-08-13,Man City,Bournemouth,4,0,H,7,1,0,0,99,104,28,261,1,45,47,63,138,3,15,14,3,29,1,0,3,14,13,0,H
2022-08-13,Southampton,Leeds,2,2,D,4,5,0,0,40,45,75,174,2,44,46,81,164,3,8,4,4,25,0,5,4,4,13,0,H
2022-08-13,Wolves,Fulham,0,0,D,1,3,0,0,51,40,48,147,2,29,30,59,143,4,10,5,6,21,0,4,6,5,33,0,H
2022-08-13,Brentford,Man United,4,0,H,7,4,0,0,47,51,60,162,4,58,58,60,196,2,0,2,12,24,0,12,12,2,20,0,H
2022-08-14,Nottingham,West Ham,1,0,H,6,5,0,0,0,0,2,0,0,56,61,56,161,3,0,0,0,0,0,0,0,0,0,0,D
2022-08-14,Chelsea,Tottenham,2,2,D,3,5,0,0,80,79,34,225,1,77,78,41,219,1,15,11,0,36,0,0,0,11,12,0,H
