Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,HomeTeamRatingLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,AwayTeamRatingLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,HomeTeamWin%H2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,AwayTeamWin%H2HLast10,FTR_Prediction
2022-08-05,Crystal Palace,Arsenal,0,2,A,2,2,0,0,28,26,19,85,0,16.500000000000004,37,34,25,100,3,19.40000000000001,12,17,16,45,0,20.0,12,16,17,47,1,20.0,A
2022-08-06,Fulham,Liverpool,2,2,D,3,4,0,0,16,12,26,67,0,6.500000000000003,51,44,11,133,0,29.300000000000008,10,9,22,53,0,30.0,19,22,9,84,1,60.0,A
2022-08-06,Bournemouth,Aston Villa,2,0,H,3,2,0,0,16,15,30,59,3,9.6,23,28,26,101,1,12.200000000000005,9,6,4,15,1,75.0,3,4,6,16,0,25.0,H
2022-08-06,Leeds,Wolves,2,1,H,4,6,0,0,22,24,43,78,2,12.000000000000002,26,25,29,79,1,10.300000000000002,11,13,12,41,1,37.5,11,12,13,41,2,37.5,H
2022-08-06,Newcastle,Nottingham,2,0,H,10,0,0,0,39,26,21,91,0,21.500000000000007,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,H
2022-08-06,Tottenham,Southampton,4,1,H,8,2,0,0,38,46,20,110,0,23.6,20,24,39,97,1,7.700000000000003,15,19,15,56,1,40.0,12,15,19,54,2,30.0,H
2022-08-06,Everton,Chelsea,0,1,A,4,6,0,0,20,20,34,65,5,13.3,36,37,21,109,0,19.500000000000004,16,8,7,27,0,40.0,10,7,8,65,0,20.0,A
2022-08-07,Leicester,Brentford,2,2,D,5,3,0,0,27,31,26,82,0,17.000000000000004,26,27,31,82,2,17.1,12,8,4,20,0,100.0,0,4,8,22,0,0.0,H
2022-08-07,Man United,Brighton,1,2,A,5,4,0,0,27,27,31,97,0,12.900000000000004,27,25,26,80,1,16.700000000000003,18,15,16,55,0,60.0,12,16,15,37,2,40.0,H
2022-08-07,West Ham,Man City,0,2,A,1,2,0,0,28,30,27,73,1,12.800000000000002,49,55,17,124,0,26.60000000000001,3,9,26,20,0,0.0,24,26,9,73,0,70.0,A
2022-08-13,Aston Villa,Everton,2,1,H,4,4,0,0,23,27,26,98,1,10.900000000000002,20,19,33,64,5,12.2,22,16,10,34,0,70.0,7,10,16,34,0,20.0,H
2022-08-13,Arsenal,Leicester,4,2,H,7,2,0,0,37,31,25,96,3,20.800000000000008,28,31,25,83,0,16.6,21,19,11,58,1,70.0,9,11,19,49,0,30.0,H
2022-08-13,Brighton,Newcastle,0,0,D,7,1,0,0,27,24,25,79,1,18.300000000000008,41,27,20,93,0,22.300000000000004,16,12,6,41,3,40.0,10,6,12,28,0,20.0,A
2022-08-13,Man City,Bournemouth,4,0,H,7,1,0,0,49,51,14,117,0,27.400000000000013,18,15,28,57,3,11.4,24,27,4,59,2,100.0,0,4,27,18,0,0.0,H
2022-08-13,Southampton,Leeds,2,2,D,4,5,0,0,19,24,42,97,0,7.000000000000003,22,23,43,75,2,14.1,16,10,11,55,0,40.0,10,11,10,46,1,20.0,H
2022-08-13,Wolves,Fulham,0,0,D,1,3,0,0,23,25,31,79,1,8.600000000000003,16,14,28,67,0,6.600000000000002,18,10,10,44,1,50.0,9,10,10,53,0,20.0,H
2022-08-13,Brentford,Man United,4,0,H,7,4,0,0,24,27,32,81,2,16.500000000000004,27,28,32,100,0,11.7,0,2,12,24,0,0.0,12,12,2,20,0,100.0,H
2022-08-14,Nottingham,West Ham,1,0,H,6,5,0,0,0,0,2,0,0,0.0,25,26,28,68,1,11.000000000000004,0,0,0,0,0,0.0,0,0,0,0,0,0.0,H
2022-08-14,Chelsea,Tottenham,2,2,D,3,5,0,0,36,35,20,111,0,21.10000000000001,38,47,19,108,0,24.6,22,17,7,50,0,70.0,7,7,17,36,1,20.0,A
2022-08-15,Liverpool,Crystal Palace,1,1,D,4,3,1,0,52,46,12,133,0,28.00000000000001,25,23,21,81,0,15.400000000000002,30,28,4,76,0,100.0,0,4,28,33,1,0.0,H
2022-08-20,Tottenham,Wolves,1,0,H,4,3,0,0,39,49,19,110,0,23.800000000000004,21,22,30,75,1,8.700000000000001,20,13,9,76,0,60.0,8,9,13,56,0,20.0,H
2022-08-20,Crystal Palace,Aston Villa,3,1,H,9,5,0,0,26,22,19,78,0,14.7,25,27,25,93,1,12.900000000000002,12,10,13,40,0,30.0,15,13,10,39,2,40.0,A
2022-08-20,Everton,Nottingham,1,1,D,8,5,0,0,20,20,34,67,5,11.3,3,1,2,6,0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,A
2022-08-20,Fulham,Brentford,3,2,H,9,5,0,0,16,12,26,63,0,6.900000000000002,27,30,28,84,2,18.500000000000004,0,0,0,0,0,0.0,0,0,0,0,0,0.0,A
2022-08-20,Leicester,Southampton,1,2,A,1,3,0,0,27,32,28,80,0,15.300000000000002,17,22,43,95,0,6.700000000000003,19,27,10,66,0,50.0,7,10,27,44,3,10.0,H
2022-08-20,Bournemouth,Arsenal,0,3,A,1,6,0,0,18,15,31,56,3,11.0,40,34,25,101,2,21.700000000000006,5,8,18,33,1,11.11111111111111,20,18,8,37,0,66.66666666666666,A
2022-08-21,Leeds,Chelsea,3,0,H,6,3,0,1,20,22,43,75,2,13.8,36,36,21,109,0,19.90000000000001,5,10,20,30,2,10.0,23,20,10,69,0,70.0,A
2022-08-21,West Ham,Brighton,0,2,A,3,2,0,0,22,23,27,68,1,10.000000000000004,27,23,24,82,1,18.000000000000004,6,12,19,37,0,0.0,18,19,12,45,0,40.0,A
2022-08-21,Newcastle,Man City,3,3,D,6,10,0,0,41,26,19,93,0,21.600000000000005,49,54,14,121,0,27.700000000000006,1,7,32,26,0,0.0,28,32,7,76,0,90.0,A
2022-08-22,Man United,Liverpool,2,1,H,4,5,0,0,26,26,34,98,0,10.2,52,45,11,131,1,26.20000000000001,6,5,26,26,2,10.0,21,26,5,53,0,60.0,A
