Date,HomeTeam,AwayTeam,HomeTeamShotTargetLast20,HomeTeamRatingLast20,AwayTeamShotTargetLast20,AwayTeamRatingLast20,HomeTeamWin%H2HLast10,AwayTeamWin%H2HLast10,FTR,FTR_Prediction
2022-08-05,Crystal Palace,Arsenal,85,16.5,100,19.4,20.0,20.0,A,A
2022-08-06,Fulham,Liverpool,67,6.5,133,29.3,30.0,60.0,D,A
2022-08-06,Bournemouth,Aston Villa,59,9.6,101,12.2,75.0,25.0,H,A
2022-08-06,Leeds,Wolves,78,12.0,79,10.3,37.5,37.5,H,H
2022-08-06,Newcastle,Nottingham,91,21.5,0,0.0,0.0,0.0,H,H
2022-08-06,Tottenham,Southampton,110,23.6,97,7.7,40.0,30.0,H,H
2022-08-06,Everton,Chelsea,65,13.3,109,19.5,40.0,20.0,A,A
2022-08-07,Leicester,Brentford,82,17.0,82,17.1,100.0,0.0,D,H
2022-08-07,Man United,Brighton,97,12.9,80,16.7,60.0,40.0,A,H
2022-08-07,West Ham,Man City,73,12.8,124,26.6,0.0,70.0,A,A
2022-08-13,Aston Villa,Everton,98,10.9,64,12.2,70.0,20.0,H,H
2022-08-13,Arsenal,Leicester,96,20.8,83,16.6,70.0,30.0,H,H
2022-08-13,Brighton,Newcastle,79,18.3,93,22.3,40.0,20.0,D,H
2022-08-13,Man City,Bournemouth,117,27.4,57,11.4,100.0,0.0,H,H
2022-08-13,Southampton,Leeds,97,7.0,75,14.1,40.0,20.0,D,A
2022-08-13,Wolves,Fulham,79,8.6,67,6.6,50.0,20.0,D,H
2022-08-13,Brentford,Man United,81,16.5,100,11.7,0.0,100.0,H,H
2022-08-14,Nottingham,West Ham,0,0.0,68,11.0,0.0,0.0,H,H
2022-08-14,Chelsea,Tottenham,111,21.1,108,24.6,70.0,20.0,D,A
2022-08-15,Liverpool,Crystal Palace,133,28.0,81,15.4,100.0,0.0,D,H
2022-08-20,Tottenham,Wolves,110,23.8,75,8.7,60.0,20.0,H,H
2022-08-20,Crystal Palace,Aston Villa,78,14.7,93,12.9,30.0,40.0,H,H
2022-08-20,Everton,Nottingham,67,11.3,6,3.0,0.0,0.0,D,A
2022-08-20,Fulham,Brentford,63,6.9,84,18.5,0.0,0.0,H,A
2022-08-20,Leicester,Southampton,80,15.3,95,6.7,50.0,10.0,A,H
2022-08-20,Bournemouth,Arsenal,56,11.0,101,21.7,11.11111111,66.66666667,A,A
2022-08-21,Leeds,Chelsea,75,13.8,109,19.9,10.0,70.0,H,A
2022-08-21,West Ham,Brighton,68,10.0,82,18.0,0.0,40.0,A,A
2022-08-21,Newcastle,Man City,93,21.6,121,27.7,0.0,90.0,D,A
2022-08-22,Man United,Liverpool,98,10.2,131,26.2,10.0,60.0,H,A
2022-08-27,Southampton,Man United,88,9.1,97,12.0,0.0,30.0,A,A
2022-08-27,Brentford,Everton,88,17.1,72,11.2,100.0,0.0,D,H
2022-08-27,Brighton,Leeds,82,19.6,77,15.9,33.33333333,0.0,H,H
2022-08-27,Chelsea,Leicester,106,18.5,80,13.8,40.0,10.0,H,H
2022-08-27,Liverpool,Bournemouth,123,23.8,55,9.6,75.0,12.5,H,H
2022-08-27,Man City,Crystal Palace,129,26.5,86,16.9,40.0,20.0,H,H
2022-08-27,Arsenal,Fulham,102,23.1,71,9.0,50.0,10.0,H,H
2022-08-28,Aston Villa,West Ham,95,11.6,66,8.5,10.0,70.0,A,H
2022-08-28,Wolves,Newcastle,76,7.3,96,20.2,30.0,20.0,D,A
2022-08-28,Nottingham,Tottenham,11,4.0,111,24.8,0.0,0.0,A,A
2022-08-30,Crystal Palace,Brentford,83,15.1,85,16.8,0.0,0.0,D,A
2022-08-30,Fulham,Brighton,72,8.3,81,21.3,0.0,0.0,H,A
2022-08-30,Southampton,Chelsea,90,8.0,108,19.3,10.0,70.0,H,A
2022-08-30,Leeds,Everton,71,14.8,69,11.3,10.0,60.0,D,H
2022-08-31,Arsenal,Aston Villa,108,23.7,94,10.4,80.0,20.0,H,H
2022-08-31,Bournemouth,Wolves,52,9.2,76,7.6,0.0,100.0,D,H
2022-08-31,Man City,Nottingham,128,26.8,12,3.7,0.0,0.0,H,H
2022-08-31,West Ham,Tottenham,63,10.8,111,25.9,30.0,50.0,D,A
2022-08-31,Liverpool,Newcastle,128,24.0,93,19.5,60.0,0.0,H,H
2022-09-01,Leicester,Man United,83,12.6,100,13.6,30.0,30.0,A,H
2022-09-03,Everton,Liverpool,71,11.1,123,24.9,10.0,60.0,D,A
2022-09-03,Brentford,Leeds,87,16.4,76,14.6,0.0,50.0,H,H
2022-09-03,Chelsea,West Ham,109,18.0,66,10.6,40.0,40.0,H,H
