Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast25,HomeTeamGoalScoredLast25,HomeTeamGoalConcededLast25,HomeTeamShotTargetLast25,HomeTeamRedLast25,AwayTeamPointLast25,AwayTeamGoalScoredLast25,AwayTeamGoalConcededLast25,AwayTeamShotTargetLast25,AwayTeamRedLast25,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5
2015-08-08,Bournemouth,Aston Villa,0,1,A,2,3,0,0,0,0,0,0,0,25,24,39,95,6,0,0,0,0,0,0,0,0,0,0
2015-08-08,Chelsea,Swansea,2,2,D,3,10,1,0,54,43,21,131,2,37,29,35,100,2,15,13,2,44,0,0,2,13,15,1
2015-08-08,Everton,Watford,2,2,D,5,5,0,0,30,25,29,102,2,19,19,40,115,2,6,5,1,7,0,0,1,5,11,0
2015-08-08,Leicester,Sunderland,4,2,H,8,5,0,0,31,33,34,94,4,24,19,34,83,2,8,4,2,23,0,5,2,4,24,1
2015-08-08,Man United,Tottenham,1,0,H,1,4,0,0,48,40,22,119,2,44,40,35,115,1,6,7,5,21,0,6,5,7,31,0
2015-08-08,Norwich,Crystal Palace,1,3,A,6,7,0,0,19,17,39,100,2,35,29,29,90,1,6,6,5,26,1,3,5,6,25,0
2015-08-09,Arsenal,West Ham,0,2,A,6,4,0,0,55,50,21,153,2,26,23,31,97,1,15,16,4,49,0,0,4,16,17,0
2015-08-09,Newcastle,Southampton,2,2,D,4,5,0,0,20,26,47,98,5,34,30,24,101,3,4,6,13,19,0,10,13,6,31,0
2015-08-09,Stoke,Liverpool,0,1,A,1,3,0,0,39,35,29,91,1,45,36,30,137,3,6,12,9,27,0,9,9,12,33,0
2015-08-10,West Brom,Man City,0,3,A,2,7,0,0,31,25,33,93,2,52,56,25,147,0,0,4,13,21,1,15,13,4,41,0
2015-08-14,Aston Villa,Man United,0,1,A,1,2,0,0,25,24,39,95,6,48,39,21,117,2,1,3,14,18,1,13,14,3,32,0
2015-08-15,Southampton,Everton,0,3,A,4,4,0,0,35,32,25,105,3,30,26,30,102,2,7,6,3,22,0,7,3,6,18,0
2015-08-15,Sunderland,Norwich,1,3,A,2,6,0,0,24,20,34,86,2,19,17,37,101,2,5,5,5,26,2,8,5,5,25,1
2015-08-15,Swansea,Newcastle,2,0,H,6,2,0,1,35,29,37,103,2,20,27,48,98,5,13,11,5,25,0,1,5,11,22,0
2015-08-15,Tottenham,Stoke,2,2,D,7,7,0,0,44,40,33,117,1,39,34,28,88,1,9,7,6,33,2,6,6,7,20,2
2015-08-15,Watford,West Brom,0,0,D,5,0,0,0,20,21,41,114,1,31,24,34,90,2,0,0,0,0,0,0,0,0,0,0
2015-08-15,West Ham,Leicester,1,2,A,3,6,1,0,26,23,30,95,1,34,36,33,98,3,7,6,5,23,0,7,5,6,24,1
2015-08-16,Crystal Palace,Arsenal,1,2,A,4,7,0,0,38,32,29,92,1,52,49,23,151,2,0,3,13,14,1,15,13,3,32,1
2015-08-16,Man City,Chelsea,3,0,H,8,3,0,0,52,55,24,150,0,52,42,23,126,3,5,5,5,29,1,8,5,5,15,0
2015-08-17,Liverpool,Bournemouth,1,0,H,2,2,0,0,45,34,29,137,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2015-08-22,Crystal Palace,Aston Villa,2,1,H,6,2,0,0,37,33,31,92,1,22,22,39,89,6,10,4,1,25,0,4,1,4,20,0
2015-08-22,Leicester,Tottenham,1,1,D,2,6,0,0,37,37,32,100,2,44,42,35,121,1,4,11,13,39,1,10,13,11,26,0
2015-08-22,Man United,Newcastle,0,0,D,8,0,0,0,48,38,20,117,2,17,25,49,97,5,12,12,5,27,0,3,5,12,24,0
2015-08-22,Norwich,Stoke,1,1,D,7,1,0,0,19,18,38,104,2,37,33,28,91,1,7,3,3,21,0,7,3,3,18,1
2015-08-22,Sunderland,Swansea,1,1,D,2,9,0,0,23,21,37,87,2,38,30,34,107,1,3,2,8,11,0,9,8,2,26,1
2015-08-22,West Ham,Bournemouth,3,4,A,4,7,1,0,23,21,31,91,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
2015-08-23,Everton,Man City,0,2,A,1,9,0,0,33,29,29,104,2,52,57,24,155,0,4,6,8,19,1,10,8,6,28,0
2015-08-23,Watford,Southampton,0,0,D,0,5,0,0,20,21,41,115,1,35,31,26,105,3,0,0,0,0,0,0,0,0,0,0
2015-08-23,West Brom,Chelsea,2,3,A,6,5,0,1,31,24,34,87,2,52,41,24,121,3,5,6,6,14,1,8,6,6,41,1
2015-08-24,Arsenal,Liverpool,0,0,D,5,8,0,0,55,49,21,152,1,47,35,29,137,3,8,11,10,32,0,5,10,11,33,2
2015-08-29,Aston Villa,Sunderland,2,2,D,6,3,0,0,22,23,40,89,5,23,21,37,85,2,11,11,1,35,1,2,1,11,11,1
2015-08-29,Bournemouth,Leicester,1,1,D,2,2,0,0,3,4,5,11,0,38,38,32,101,2,0,0,0,0,0,0,0,0,0,0
2015-08-29,Chelsea,Crystal Palace,1,2,A,9,6,0,0,52,42,26,123,4,39,34,31,95,1,12,9,4,34,1,3,4,9,17,1
2015-08-29,Liverpool,West Ham,0,3,A,1,5,1,1,48,35,26,136,3,22,23,34,87,3,10,9,5,41,0,4,5,9,15,1
2015-08-29,Man City,Watford,2,0,H,5,0,0,0,52,58,24,160,0,20,21,41,110,1,2,1,1,13,0,2,1,1,5,0
2015-08-29,Newcastle,Arsenal,0,1,A,0,9,1,0,18,24,45,93,5,53,45,20,153,1,0,2,11,16,0,15,11,2,23,0
2015-08-29,Stoke,West Brom,0,1,A,5,5,2,0,37,33,28,89,1,28,25,37,88,2,8,4,2,17,0,5,2,4,23,0
2015-08-29,Tottenham,Everton,0,0,D,6,3,0,0,42,41,35,123,1,30,26,30,100,2,11,6,3,27,0,2,3,6,15,0
2015-08-30,Southampton,Norwich,3,0,H,8,1,0,1,36,31,25,106,3,19,18,38,108,2,8,9,7,26,0,5,7,9,21,0
2015-08-30,Swansea,Man United,2,1,H,4,4,0,0,39,30,33,113,1,46,35,20,119,2,6,6,10,20,0,9,10,6,29,0
2015-09-12,Arsenal,Stoke,2,0,H,12,4,0,0,55,44,18,159,1,37,33,27,92,3,9,9,5,31,1,6,5,9,15,0
2015-09-12,Crystal Palace,Man City,0,1,A,2,7,0,0,42,36,29,100,1,52,57,24,162,0,3,3,10,12,0,12,10,3,26,0
2015-09-12,Everton,Chelsea,3,1,H,9,2,0,0,31,26,27,99,2,49,41,28,126,4,3,5,10,27,1,12,10,5,38,0
2015-09-12,Man United,Liverpool,3,1,H,3,4,0,0,45,35,21,114,2,47,33,27,127,3,9,7,6,25,1,6,6,7,27,1
2015-09-12,Norwich,Bournemouth,3,1,H,4,2,0,0,18,18,41,104,3,4,5,6,13,0,0,0,0,0,0,0,0,0,0,0
2015-09-12,Watford,Swansea,1,0,H,6,3,1,0,20,20,41,102,1,39,31,34,114,1,0,0,0,0,0,0,0,0,0,0
2015-09-12,West Brom,Southampton,0,0,D,1,4,0,0,31,24,34,87,2,36,31,25,111,3,7,4,2,17,1,7,2,4,15,2
2015-09-13,Leicester,Aston Villa,3,2,H,6,4,0,0,39,39,31,99,2,22,24,41,91,4,4,5,12,27,3,10,12,5,37,1
2015-09-13,Sunderland,Tottenham,0,1,A,2,4,0,0,21,22,39,85,2,40,39,34,123,1,1,5,12,17,1,13,12,5,49,0
2015-09-14,West Ham,Newcastle,2,0,H,3,4,0,0,22,24,34,90,4,18,24,45,86,6,5,2,5,10,0,8,5,2,20,1
2015-09-19,Aston Villa,West Brom,0,1,A,3,6,0,0,22,26,43,92,4,32,23,31,82,2,8,10,9,30,1,5,9,10,23,0
2015-09-19,Bournemouth,Sunderland,2,0,H,5,2,0,1,4,6,9,15,0,21,21,37,84,2,0,0,0,0,0,0,0,0,0,0
2015-09-19,Chelsea,Arsenal,2,0,H,7,2,0,2,46,40,31,119,4,55,44,17,166,0,11,10,1,29,0,2,1,10,16,1
2015-09-19,Man City,West Ham,1,2,A,8,3,0,0,52,55,23,164,0,25,26,32,93,4,12,10,4,34,0,3,4,10,15,0
2015-09-19,Newcastle,Watford,1,2,A,5,4,0,0,18,23,44,86,6,23,21,39,104,2,4,3,2,7,0,1,2,3,10,0
2015-09-19,Stoke,Leicester,2,2,D,4,5,0,0,34,32,29,94,3,42,41,31,99,2,3,1,1,7,0,3,1,1,4,0
2015-09-19,Swansea,Everton,0,0,D,3,2,0,1,36,30,35,115,1,34,29,27,103,2,3,4,6,15,1,9,6,4,31,0
2015-09-20,Liverpool,Norwich,1,1,D,7,2,0,0,44,33,30,128,3,21,20,40,105,3,15,21,5,43,0,0,5,21,23,0
2015-09-20,Southampton,Man United,2,3,A,8,3,0,0,34,28,24,109,3,45,35,21,113,2,5,5,6,28,0,8,6,5,16,0
2015-09-20,Tottenham,Crystal Palace,1,0,H,6,4,0,0,40,38,33,124,1,42,35,27,98,1,7,4,5,20,0,7,5,4,23,0
2015-09-26,Leicester,Arsenal,2,5,A,7,12,0,0,40,42,33,102,1,52,42,18,161,2,2,5,9,11,0,11,9,5,36,1
2015-09-26,Liverpool,Aston Villa,3,2,H,12,4,0,0,42,30,30,124,3,21,26,44,92,3,10,7,4,25,0,4,4,7,18,0
2015-09-26,Man United,Sunderland,3,0,H,7,4,0,0,47,38,23,111,2,20,21,39,83,3,10,6,3,27,0,4,3,6,13,1
2015-09-26,Newcastle,Chelsea,2,2,D,5,4,0,0,15,21,44,85,6,48,41,30,125,4,9,7,8,35,1,6,8,7,29,0
2015-09-26,Southampton,Swansea,3,1,H,7,4,0,0,33,29,26,116,2,37,29,31,114,1,10,4,1,23,1,4,1,4,20,1
2015-09-26,Stoke,Bournemouth,2,1,H,5,6,0,0,32,32,31,95,3,7,8,9,20,0,0,0,0,0,0,0,0,0,0,0
2015-09-26,Tottenham,Man City,4,1,H,8,8,0,0,42,39,33,126,1,51,54,23,166,0,3,5,17,27,2,12,17,5,43,0
2015-09-26,West Ham,Norwich,2,2,D,7,7,0,0,28,27,31,92,4,22,21,40,103,3,7,5,4,23,0,4,4,5,29,0
2015-09-27,Watford,Crystal Palace,0,1,A,2,3,0,0,26,22,38,105,2,41,35,28,99,1,0,0,0,0,0,0,0,0,0,0
2015-09-28,West Brom,Everton,2,3,A,4,4,0,0,35,24,29,84,2,35,27,24,103,3,3,2,5,13,0,9,5,2,24,0
2015-10-03,Aston Villa,Stoke,0,1,A,2,5,0,0,20,28,47,93,3,34,33,31,98,3,6,7,9,19,1,9,9,7,17,0
2015-10-03,Bournemouth,Watford,1,1,D,6,2,0,0,7,9,11,26,0,25,22,39,102,1,0,0,0,0,0,0,0,0,0,0
2015-10-03,Chelsea,Southampton,1,3,A,3,5,0,0,49,40,27,122,4,33,30,27,117,2,8,9,5,24,0,5,5,9,17,1
2015-10-03,Crystal Palace,West Brom,2,0,H,8,2,0,0,43,36,28,102,1,34,25,31,85,2,5,7,9,24,1,8,9,7,25,0
2015-10-03,Man City,Newcastle,6,1,H,11,4,0,0,48,52,25,162,0,15,20,43,86,6,15,17,0,42,0,0,0,17,8,1
2015-10-03,Norwich,Leicester,1,2,A,2,5,0,0,22,22,41,105,2,39,42,36,106,1,0,0,0,0,0,0,0,0,0,0
2015-10-03,Sunderland,West Ham,2,2,D,3,6,1,0,20,19,39,83,3,28,28,32,96,4,5,5,4,34,0,8,4,5,24,0
2015-10-04,Arsenal,Man United,3,0,H,5,5,0,0,55,47,18,167,2,49,40,22,116,2,3,3,5,32,0,9,5,3,15,0
2015-10-04,Everton,Liverpool,1,1,D,4,4,0,0,38,30,24,104,2,44,31,30,130,3,4,4,8,26,0,7,8,4,36,0
2015-10-04,Swansea,Tottenham,2,2,D,2,11,0,0,36,29,33,112,0,42,38,31,126,1,0,5,11,19,0,15,11,5,28,0
2015-10-17,Chelsea,Aston Villa,2,0,H,3,1,0,0,46,39,30,120,4,20,28,47,94,2,12,9,4,26,3,3,4,9,16,1
2015-10-17,Crystal Palace,West Ham,1,3,A,1,4,1,0,43,36,27,103,1,28,29,33,97,4,9,6,4,17,1,3,4,6,19,0
2015-10-17,Everton,Man United,0,3,A,3,7,0,0,38,30,24,104,2,49,40,24,121,2,9,7,4,30,0,6,4,7,22,0
2015-10-17,Man City,Bournemouth,5,1,H,11,1,0,0,50,57,25,171,0,8,10,12,32,0,0,0,0,0,0,0,0,0,0,0
2015-10-17,Southampton,Leicester,2,2,D,6,7,0,0,33,32,28,121,2,39,43,37,108,0,6,6,6,38,0,6,6,6,22,0
2015-10-17,Tottenham,Liverpool,0,0,D,4,3,0,0,43,39,31,132,1,42,31,31,130,3,0,4,18,19,1,15,18,4,34,0
2015-10-17,Watford,Arsenal,0,3,A,1,6,0,0,26,23,37,100,1,55,47,18,166,2,0,1,5,6,0,6,5,1,15,0
2015-10-17,West Brom,Sunderland,1,0,H,1,2,0,0,31,24,33,84,2,21,21,40,85,3,8,7,5,20,0,5,5,7,14,0
2015-10-18,Newcastle,Norwich,6,2,H,6,6,0,0,15,21,47,85,6,22,23,41,104,2,11,4,1,30,1,2,1,4,15,1
2015-10-19,Swansea,Stoke,0,1,A,2,2,0,0,36,30,34,111,0,37,34,28,101,3,8,10,7,24,0,5,7,10,15,1
2015-10-24,Arsenal,Everton,2,1,H,5,5,0,1,55,48,18,169,2,37,30,27,103,2,6,5,6,23,0,6,6,5,21,0
2015-10-24,Aston Villa,Swansea,1,2,A,3,4,0,0,20,28,47,91,2,36,30,30,113,0,2,4,9,18,0,11,9,4,32,0
2015-10-24,Leicester,Crystal Palace,1,0,H,3,4,0,0,40,45,38,112,0,40,34,28,100,2,0,0,3,6,0,6,3,0,8,0
2015-10-24,Norwich,West Brom,0,1,A,3,4,0,0,19,24,47,106,2,33,25,33,85,2,9,9,4,23,0,6,4,9,38,0
2015-10-24,Stoke,Watford,0,2,A,1,3,0,0,37,34,28,100,3,26,23,38,95,1,0,0,0,0,0,0,0,0,0,0
2015-10-24,West Ham,Chelsea,2,1,H,5,4,0,1,28,29,34,95,4,46,36,30,112,4,1,0,8,16,0,13,8,0,43,0
2015-10-25,Bournemouth,Tottenham,1,5,A,3,9,0,0,8,11,17,33,0,41,37,30,128,1,0,0,0,0,0,0,0,0,0,0
2015-10-25,Liverpool,Southampton,1,1,D,2,3,0,1,40,29,31,128,3,31,32,29,124,2,9,8,5,25,0,6,5,8,32,0
2015-10-25,Man United,Man City,0,0,D,1,1,0,0,49,41,24,121,2,53,62,24,178,0,3,6,12,23,1,12,12,6,23,0
2015-10-25,Sunderland,Newcastle,3,0,H,3,8,0,1,21,20,39,83,3,18,26,47,88,6,15,10,1,23,0,0,1,10,31,0
2015-10-31,Chelsea,Liverpool,1,3,A,2,7,0,0,45,36,31,114,5,38,28,32,123,3,11,9,5,23,0,2,5,9,32,0
2015-10-31,Crystal Palace,Man United,0,0,D,5,1,0,0,40,34,28,101,2,47,38,23,117,2,1,1,7,12,2,13,7,1,30,0
2015-10-31,Man City,Norwich,2,1,H,5,3,0,1,53,61,23,174,0,18,24,48,107,1,10,19,7,42,1,4,7,19,26,0
2015-10-31,Newcastle,Stoke,0,0,D,6,2,0,0,15,23,50,91,7,34,31,29,98,3,7,8,5,19,0,7,5,8,16,2
2015-10-31,Swansea,Arsenal,0,3,A,3,5,0,0,36,31,31,116,0,55,45,19,166,2,7,6,7,15,0,7,7,6,32,0
2015-10-31,Watford,West Ham,2,0,H,5,3,0,1,26,23,37,91,1,31,31,33,98,4,4,2,1,9,0,1,1,2,14,0
2015-10-31,West Brom,Leicester,2,3,A,6,5,0,0,36,26,30,85,2,43,45,35,114,0,3,3,3,8,0,3,3,3,9,0
2015-11-01,Everton,Sunderland,6,2,H,8,9,0,0,34,30,29,106,3,21,21,39,83,3,4,2,5,28,1,10,5,2,22,0
2015-11-01,Southampton,Bournemouth,2,0,H,2,2,1,0,32,33,29,121,2,8,12,22,36,0,0,0,0,0,0,0,0,0,0,0
2015-11-02,Tottenham,Aston Villa,3,1,H,6,2,0,0,41,39,31,133,1,20,29,44,92,2,12,11,2,38,0,3,2,11,8,2
