Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,HomeTeamRatingLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,AwayTeamRatingLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,HomeTeamWin%H2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,AwayTeamWin%H2HLast10
2015-08-08,Bournemouth,Aston Villa,0,1,A,2,3,0,0,0,0,0,0,0,0.0,18,20,35,76,4,12.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2015-08-08,Chelsea,Swansea,2,2,D,3,10,1,0,42,33,19,97,2,23.700000000000006,28,23,30,83,1,16.600000000000005,20,19,5,68,2,75.0,2,5,19,31,1,0.0
2015-08-08,Everton,Watford,2,2,D,5,5,0,0,26,21,22,81,2,16.200000000000003,17,18,35,88,1,10.600000000000001,6,5,1,7,0,100.0,0,1,5,11,0,0.0
2015-08-08,Leicester,Sunderland,4,2,H,8,5,0,0,31,30,24,75,2,19.700000000000003,19,15,26,70,2,12.100000000000001,9,4,2,25,0,33.33333333333333,6,2,4,29,1,16.666666666666664
2015-08-08,Man United,Tottenham,1,0,H,1,4,0,0,35,29,18,95,2,18.70000000000001,34,34,29,97,1,17.900000000000006,16,17,9,69,1,40.0,10,9,17,69,0,20.0
2015-08-08,Norwich,Crystal Palace,1,3,A,6,7,0,0,14,12,31,81,2,6.600000000000002,33,27,21,73,1,18.000000000000007,6,6,5,26,1,25.0,3,5,6,25,0,0.0
2015-08-09,Arsenal,West Ham,0,2,A,6,4,0,0,45,39,14,127,0,23.700000000000006,16,15,26,74,1,8.000000000000002,28,27,7,104,1,90.0,1,7,27,42,1,0.0
2015-08-09,Newcastle,Southampton,2,2,D,4,5,0,0,16,21,37,76,4,7.400000000000002,28,23,19,83,3,12.700000000000001,14,14,20,63,0,40.0,14,20,14,69,0,40.0
2015-08-09,Stoke,Liverpool,0,1,A,1,3,0,0,32,29,22,76,1,17.000000000000007,37,30,24,110,2,16.500000000000007,14,15,11,40,0,40.0,14,11,15,69,1,40.0
2015-08-10,West Brom,Man City,0,3,A,2,7,0,0,27,20,25,68,2,15.900000000000002,37,44,23,128,0,23.1,1,5,24,49,2,0.0,28,24,5,89,2,90.0
2015-08-14,Aston Villa,Man United,0,1,A,1,2,0,0,20,21,35,76,3,14.0,37,30,18,91,2,20.00000000000001,2,8,27,43,1,0.0,26,27,8,81,0,80.0
2015-08-15,Southampton,Everton,0,3,A,4,4,0,0,28,24,20,87,2,12.800000000000002,27,21,21,84,2,15.600000000000001,10,12,12,49,0,20.0,16,12,12,48,0,40.0
