Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10
2015-08-08,Bournemouth,Aston Villa,0,1,A,M Clattenburg,2,3,0,0,0,0,0,0,0,18,20,35,76,4,0,0,0,0,0,0,0,0,0,0
2015-08-08,Chelsea,Swansea,2,2,D,M Oliver,3,10,1,0,42,33,19,97,2,28,23,30,83,1,20,19,5,68,2,2,5,19,31,1
2015-08-08,Everton,Watford,2,2,D,M Jones,5,5,0,0,26,21,22,81,2,17,18,35,88,1,6,5,1,7,0,0,1,5,11,0
2015-08-08,Leicester,Sunderland,4,2,H,L Mason,8,5,0,0,31,30,24,75,2,19,15,26,70,2,9,4,2,25,0,6,2,4,29,1
2015-08-08,Man United,Tottenham,1,0,H,J Moss,1,4,0,0,35,29,18,95,2,34,34,29,97,1,16,17,9,69,1,10,9,17,69,0
2015-08-08,Norwich,Crystal Palace,1,3,A,S Hooper,6,7,0,0,14,12,31,81,2,33,27,21,73,1,6,6,5,26,1,3,5,6,25,0
2015-08-09,Arsenal,West Ham,0,2,A,M Atkinson,6,4,0,0,45,39,14,127,0,16,15,26,74,1,28,27,7,104,1,1,7,27,42,1
2015-08-09,Newcastle,Southampton,2,2,D,C Pawson,4,5,0,0,16,21,37,76,4,28,23,19,83,3,14,14,20,63,0,14,20,14,69,0
2015-08-09,Stoke,Liverpool,0,1,A,A Taylor,1,3,0,0,32,29,22,76,1,37,30,24,110,2,14,15,11,40,0,14,11,15,69,1
2015-08-10,West Brom,Man City,0,3,A,M Dean,2,7,0,0,27,20,25,68,2,37,44,23,128,0,1,5,24,49,2,28,24,5,89,2
2015-08-14,Aston Villa,Man United,0,1,A,M Dean,1,2,0,0,20,21,35,76,3,37,30,18,91,2,2,8,27,43,1,26,27,8,81,0
2015-08-15,Southampton,Everton,0,3,A,M Oliver,4,4,0,0,28,24,20,87,2,27,21,21,84,2,10,12,12,49,0,16,12,12,48,0
2015-08-15,Sunderland,Norwich,1,3,A,K Friend,2,6,0,0,18,17,30,72,2,14,13,33,83,2,5,6,7,32,2,11,7,6,33,1
2015-08-15,Swansea,Newcastle,2,0,H,M Jones,6,2,0,1,29,24,28,89,1,14,20,37,74,4,17,13,8,47,0,5,8,13,42,0
2015-08-15,Tottenham,Stoke,2,2,D,R Madley,7,7,0,0,33,34,30,97,1,29,27,23,74,1,17,14,12,91,3,11,12,14,46,2
2015-08-15,Watford,West Brom,0,0,D,P Tierney,5,0,0,0,18,19,35,90,1,27,20,26,66,2,0,0,0,0,0,0,0,0,0,0
2015-08-15,West Ham,Leicester,1,2,A,A Taylor,3,6,1,0,19,16,24,74,1,31,33,26,81,1,7,6,6,35,1,10,6,6,26,1
2015-08-16,Crystal Palace,Arsenal,1,2,A,L Mason,4,7,0,0,35,30,22,77,1,42,37,15,126,0,1,4,14,15,1,16,14,4,45,1
2015-08-16,Man City,Chelsea,3,0,H,M Atkinson,8,3,0,0,39,45,21,129,0,42,34,20,99,3,12,9,10,58,2,15,10,9,43,0
2015-08-17,Liverpool,Bournemouth,1,0,H,C Pawson,2,2,0,0,37,27,23,102,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2015-08-22,Crystal Palace,Aston Villa,2,1,H,K Stroud,6,2,0,0,34,31,24,81,1,19,21,36,74,3,11,5,2,33,0,5,2,5,25,0
2015-08-22,Leicester,Tottenham,1,1,D,M Atkinson,2,6,0,0,33,33,25,84,1,31,31,29,96,1,7,16,20,59,2,16,20,16,41,0
2015-08-22,Man United,Newcastle,0,0,D,C Pawson,8,0,0,0,39,30,17,91,2,13,17,36,72,5,20,19,9,73,0,8,9,19,47,1
2015-08-22,Norwich,Stoke,1,1,D,M Dean,7,1,0,0,16,15,33,84,1,29,28,24,79,1,8,4,4,28,1,8,4,4,23,1
2015-08-22,Sunderland,Swansea,1,1,D,N Swarbrick,2,9,0,0,18,16,30,70,2,31,25,27,89,0,8,6,10,24,0,11,10,6,46,2
2015-08-22,West Ham,Bournemouth,3,4,A,J Moss,4,7,1,0,18,16,25,74,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
2015-08-23,Everton,Man City,0,2,A,A Taylor,1,9,0,0,30,24,19,85,1,39,45,19,125,0,14,12,13,40,2,14,13,12,75,1
2015-08-23,Watford,Southampton,0,0,D,A Marriner,0,5,0,0,18,19,35,90,0,25,22,23,85,2,0,0,0,0,0,0,0,0,0,0
2015-08-23,West Brom,Chelsea,2,3,A,M Clattenburg,6,5,0,1,27,19,25,63,2,42,31,18,95,3,11,11,18,45,1,17,18,11,95,1
2015-08-24,Arsenal,Liverpool,0,0,D,M Oliver,5,8,0,0,45,39,14,127,0,39,26,21,98,2,16,17,15,65,2,10,15,17,62,3
2015-08-29,Aston Villa,Sunderland,2,2,D,R Madley,6,3,0,0,19,22,37,75,2,19,17,30,71,1,16,14,5,62,2,10,5,14,36,3
2015-08-29,Bournemouth,Leicester,1,1,D,N Swarbrick,2,2,0,0,3,4,5,11,0,31,33,26,83,0,0,0,0,0,0,0,0,0,0,0
2015-08-29,Chelsea,Crystal Palace,1,2,A,C Pawson,9,6,0,0,42,32,20,95,4,34,31,24,80,1,15,11,4,44,1,3,4,11,21,1
2015-08-29,Liverpool,West Ham,0,3,A,K Friend,1,5,1,1,37,25,21,102,2,17,18,28,73,3,22,22,12,91,0,7,12,22,40,1
2015-08-29,Man City,Watford,2,0,H,M Clattenburg,5,0,0,0,41,46,18,132,0,19,19,32,86,0,2,1,1,13,0,2,1,1,5,0
2015-08-29,Newcastle,Arsenal,0,1,A,A Marriner,0,9,1,0,14,17,34,67,5,43,36,14,126,0,5,11,24,38,0,23,24,11,70,3
2015-08-29,Stoke,West Brom,0,1,A,M Oliver,5,5,2,0,30,29,22,78,1,24,20,28,66,2,18,11,5,32,0,9,5,11,66,0
