Date,HomeTeam,AwayTeam,FTR,HomeTeamShotTargetLast20,HomeTeamRatingLast20,AwayTeamShotTargetLast20,AwayTeamRatingLast20,HomeTeamWin%H2HLast10,AwayTeamWin%H2HLast10
2015-08-08,Bournemouth,Aston Villa,A,0,0,76,12,0,0
2015-08-08,Chelsea,Swansea,D,97,23.7,83,16.6,75,0
2015-08-08,Everton,Watford,D,81,16.2,88,10.6,100,0
2015-08-08,Leicester,Sunderland,H,75,19.7,70,12.1,33.33333333,16.66666667
2015-08-08,Man United,Tottenham,H,95,18.7,97,17.9,40,20
2015-08-08,Norwich,Crystal Palace,A,81,6.6,73,18,25,0
2015-08-09,Arsenal,West Ham,A,127,23.7,74,8,90,0
2015-08-09,Newcastle,Southampton,D,76,7.4,83,12.7,40,40
2015-08-09,Stoke,Liverpool,A,76,17,110,16.5,40,40
2015-08-10,West Brom,Man City,A,68,15.9,128,23.1,0,90
2015-08-14,Aston Villa,Man United,A,76,14,91,20,0,80
2015-08-15,Southampton,Everton,A,87,12.8,84,15.6,20,40
2015-08-15,Sunderland,Norwich,A,72,10.9,83,5.6,16.66666667,50
2015-08-15,Swansea,Newcastle,H,89,16.3,74,7.4,62.5,12.5
2015-08-15,Tottenham,Stoke,D,97,16.5,74,15.7,50,30
2015-08-15,Watford,West Brom,D,90,10.4,66,13.8,0,0
2015-08-15,West Ham,Leicester,A,74,10.5,81,21.1,33.33333333,50
2015-08-16,Crystal Palace,Arsenal,A,77,19.3,126,21.4,0,83.33333333
2015-08-16,Man City,Chelsea,H,129,24.6,99,22.6,30,40
2015-08-17,Liverpool,Bournemouth,H,102,17.3,2,0,0,0
2015-08-22,Crystal Palace,Aston Villa,H,81,17.7,74,13.2,50,16.66666667
2015-08-22,Leicester,Tottenham,D,84,22.6,96,15.5,25,62.5
2015-08-22,Man United,Newcastle,D,91,21.2,72,6.8,60,20
2015-08-22,Norwich,Stoke,D,84,8.2,79,14.8,33.33333333,33.33333333
2015-08-22,Sunderland,Swansea,D,70,10.2,89,17.8,12.5,25
2015-08-22,West Ham,Bournemouth,A,74,9.4,4,0,0,0
2015-08-23,Everton,Man City,A,85,17.6,125,25.4,40,40
2015-08-23,Watford,Southampton,D,90,10.9,85,10.9,0,0
2015-08-23,West Brom,Chelsea,A,63,14.2,95,20.5,30,50
2015-08-24,Arsenal,Liverpool,D,127,22.2,98,18.8,40,20
2015-08-29,Aston Villa,Sunderland,D,75,12,71,10.1,40,20
2015-08-29,Bournemouth,Leicester,D,11,3,83,22,0,0
2015-08-29,Chelsea,Crystal Palace,A,95,21.4,80,18.8,83.33333333,16.66666667
2015-08-29,Liverpool,West Ham,A,102,17.6,73,8.6,70,20
2015-08-29,Man City,Watford,H,132,26.7,86,10.6,0,0
2015-08-29,Newcastle,Arsenal,A,67,7,126,21.2,10,70
2015-08-29,Stoke,West Brom,A,78,14.8,66,12.1,50,20
2015-08-29,Tottenham,Everton,D,97,15.2,82,15.9,40,30
2015-08-30,Southampton,Norwich,H,89,11,88,8.2,33.33333333,33.33333333
2015-08-30,Swansea,Man United,H,95,17.4,99,20.3,25,62.5
2015-09-12,Arsenal,Stoke,H,132,21.7,80,12.9,50,30
2015-09-12,Crystal Palace,Man City,A,82,20.3,133,27.5,16.66666667,83.33333333
2015-09-12,Everton,Chelsea,H,81,15.6,93,19.3,30,60
2015-09-12,Man United,Liverpool,H,96,18.3,98,15.9,60,30
2015-09-12,Norwich,Bournemouth,H,85,7.6,13,4,0,0
2015-09-12,Watford,Swansea,H,80,10.1,99,18.7,0,0
2015-09-12,West Brom,Southampton,D,71,14.5,94,12.4,40,30
2015-09-13,Leicester,Aston Villa,H,82,21.3,77,12.3,25,50
2015-09-13,Sunderland,Tottenham,A,70,10.4,95,14.4,0,70
2015-09-14,West Ham,Newcastle,H,72,10.6,64,6.5,30,40
2015-09-19,Aston Villa,West Brom,A,79,11.1,68,13.7,30,30
2015-09-19,Bournemouth,Sunderland,H,15,3.7,69,9.2,0,0
2015-09-19,Chelsea,Arsenal,H,93,17.2,136,22.9,50,20
2015-09-19,Man City,West Ham,A,135,28.6,73,12.9,70,10
2015-09-19,Newcastle,Watford,A,63,5.6,79,11.7,50,0
2015-09-19,Stoke,Leicester,D,81,11.8,87,22.9,50,50
2015-09-19,Swansea,Everton,D,101,17.3,88,17,0,62.5
2015-09-20,Liverpool,Norwich,D,95,13.9,87,9.5,87.5,0
2015-09-20,Southampton,Man United,A,92,12.7,94,19.3,20,60
2015-09-20,Tottenham,Crystal Palace,H,95,16,81,18.4,33.33333333,33.33333333
2015-09-26,Leicester,Arsenal,A,87,22.1,135,20.4,0,62.5
2015-09-26,Liverpool,Aston Villa,H,96,13.5,81,10.3,50,30
2015-09-26,Man United,Sunderland,H,91,20.6,70,8.4,70,10
2015-09-26,Newcastle,Chelsea,D,65,5.1,95,18.4,40,40
2015-09-26,Southampton,Swansea,H,95,11.1,97,16.3,50,16.66666667
2015-09-26,Stoke,Bournemouth,H,82,11.2,20,6.6,0,0
2015-09-26,Tottenham,Man City,H,93,17.4,138,26.1,10,80
2015-09-26,West Ham,Norwich,D,70,14.9,83,10.2,50,25
2015-09-27,Watford,Crystal Palace,A,82,14.2,83,16.9,0,0
2015-09-28,West Brom,Everton,A,69,15.9,89,16.7,30,40
2015-10-03,Aston Villa,Stoke,A,81,9.1,82,13.4,20,40
2015-10-03,Bournemouth,Watford,D,26,6.3,81,12.8,0,0
2015-10-03,Chelsea,Southampton,A,92,17.4,95,13.3,60,10
2015-10-03,Crystal Palace,West Brom,H,83,18,69,14,33.33333333,33.33333333
2015-10-03,Man City,Newcastle,H,138,24,69,5.5,100,0
2015-10-03,Norwich,Leicester,A,88,9.9,90,20.4,0,0
2015-10-03,Sunderland,West Ham,D,69,7.5,76,14.9,30,30
2015-10-04,Arsenal,Man United,H,140,21.6,91,21.6,10,60
2015-10-04,Everton,Liverpool,D,89,18.1,101,14.8,10,30
2015-10-04,Swansea,Tottenham,D,98,15.2,96,19,0,87.5
2015-10-17,Chelsea,Aston Villa,H,90,15.6,81,8.3,60,20
2015-10-17,Crystal Palace,West Ham,A,88,19.8,77,14.7,75,25
2015-10-17,Everton,Man United,A,90,17.8,93,19.7,40,40
2015-10-17,Man City,Bournemouth,H,140,24.6,32,6.9,0,0
2015-10-17,Southampton,Leicester,D,95,15,91,21.5,37.5,25
2015-10-17,Tottenham,Liverpool,D,99,18.4,101,14.4,40,50
2015-10-17,Watford,Arsenal,A,78,13,141,22.1,0,100
2015-10-17,West Brom,Sunderland,H,70,13,70,7.8,60,10
2015-10-18,Newcastle,Norwich,H,72,5.1,84,9.5,37.5,25
2015-10-19,Swansea,Stoke,A,94,14.2,81,14.8,37.5,37.5
2015-10-24,Arsenal,Everton,H,143,23.3,91,15.9,50,10
2015-10-24,Aston Villa,Swansea,A,79,7.1,94,13.1,12.5,50
2015-10-24,Leicester,Crystal Palace,H,96,20.8,84,17.7,0,100
2015-10-24,Norwich,West Brom,A,87,8.2,68,14.4,50,37.5
2015-10-24,Stoke,Watford,A,81,16.7,73,11.6,0,0
2015-10-24,West Ham,Chelsea,H,76,16.7,90,16.8,10,70
2015-10-25,Bournemouth,Tottenham,A,33,6.6,96,17.7,0,0
2015-10-25,Liverpool,Southampton,D,99,13.7,99,15,50,50
2015-10-25,Man United,Man City,D,90,20.7,150,25.8,30,60
2015-10-25,Sunderland,Newcastle,H,69,6.9,73,7.5,50,20
2015-10-31,Chelsea,Liverpool,A,87,15.1,93,13.5,30,40
2015-10-31,Crystal Palace,Man United,D,85,16.2,86,19.8,0,83.33333333
2015-10-31,Man City,Norwich,H,142,24.4,86,7.8,62.5,12.5
2015-10-31,Newcastle,Stoke,D,79,7.1,79,15.1,40,50
2015-10-31,Swansea,Arsenal,A,93,14.3,139,23.8,50,37.5
2015-10-31,Watford,West Ham,H,73,14,76,18.5,50,0
2015-10-31,West Brom,Leicester,A,71,16.5,96,21.7,50,50
2015-11-01,Everton,Sunderland,H,91,14.6,69,9.2,40,30
2015-11-01,Southampton,Bournemouth,H,99,14.4,36,6.1,0,0
2015-11-02,Tottenham,Aston Villa,H,99,19.1,74,6.3,80,10
2015-11-07,Bournemouth,Newcastle,A,38,5.8,81,7.5,0,0
2015-11-07,Leicester,Watford,H,96,22.9,68,15.7,0,0
2015-11-07,Man United,West Brom,H,84,18.8,72,14.9,50,20
2015-11-07,Norwich,Swansea,H,84,6.8,93,13.5,50,16.66666667
