Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,Home_Win_Prob,Draw_Prob,Away_Win_Prob
2015-08-08,Bournemouth,Aston Villa,0,1,A,2,3,0,0,0,0,0,0,0,18,20,35,76,4,0,0,0,0,0,0,0,0,0,0,0.41710499329336903,0.24390305517785535,0.33899195152877565
2015-08-08,Chelsea,Swansea,2,2,D,3,10,1,0,42,33,19,97,2,28,23,30,83,1,20,19,5,68,2,2,5,19,31,1,0.6289104030528552,0.22083640967530016,0.15025318727184464
2015-08-08,Everton,Watford,2,2,D,5,5,0,0,26,21,22,81,2,17,18,35,88,1,6,5,1,7,0,0,1,5,11,0,0.4802784738731134,0.30463751360902486,0.21508401251786177
2015-08-08,Leicester,Sunderland,4,2,H,8,5,0,0,31,30,24,75,2,19,15,26,70,2,9,4,2,25,0,6,2,4,29,1,0.5576718599251288,0.23701910167373919,0.20530903840113204
2015-08-08,Man United,Tottenham,1,0,H,1,4,0,0,35,29,18,95,2,34,34,29,97,1,16,17,9,69,1,10,9,17,69,0,0.48740253398868083,0.263228023533095,0.24936944247822423
2015-08-08,Norwich,Crystal Palace,1,3,A,6,7,0,0,14,12,31,81,2,33,27,21,73,1,6,6,5,26,1,3,5,6,25,0,0.313165921176342,0.3127822601540044,0.3740518186696535
2015-08-09,Arsenal,West Ham,0,2,A,6,4,0,0,45,39,14,127,0,16,15,26,74,1,28,27,7,104,1,1,7,27,42,1,0.7112323584733702,0.19363857977353707,0.0951290617530928
2015-08-09,Newcastle,Southampton,2,2,D,4,5,0,0,16,21,37,76,4,28,23,19,83,3,14,14,20,63,0,14,20,14,69,0,0.29529319295296236,0.3220248333704057,0.38268197367663204
2015-08-09,Stoke,Liverpool,0,1,A,1,3,0,0,32,29,22,76,1,37,30,24,110,2,14,15,11,40,0,14,11,15,69,1,0.3617814514044099,0.24235275228031616,0.3958657963152739
2015-08-10,West Brom,Man City,0,3,A,2,7,0,0,27,20,25,68,2,37,44,23,128,0,1,5,24,49,2,28,24,5,89,2,0.12583902416064055,0.2512799351884793,0.62288104065088
2015-08-14,Aston Villa,Man United,0,1,A,1,2,0,0,20,21,35,76,3,37,30,18,91,2,2,8,27,43,1,26,27,8,81,0,0.21714880981650928,0.2802783460206925,0.5025728441627983
2015-08-15,Southampton,Everton,0,3,A,4,4,0,0,28,24,20,87,2,27,21,21,84,2,10,12,12,49,0,16,12,12,48,0,0.40500983206729063,0.29876290070480954,0.2962272672278999
2015-08-15,Sunderland,Norwich,1,3,A,2,6,0,0,18,17,30,72,2,14,13,33,83,2,5,6,7,32,2,11,7,6,33,1,0.37807712066139615,0.3334702425004402,0.28845263683816363
2015-08-15,Swansea,Newcastle,2,0,H,6,2,0,1,29,24,28,89,1,14,20,37,74,4,17,13,8,47,0,5,8,13,42,0,0.5957962455922453,0.21227114608650832,0.19193260832124634
2015-08-15,Tottenham,Stoke,2,2,D,7,7,0,0,33,34,30,97,1,29,27,23,74,1,17,14,12,91,3,11,12,14,46,2,0.5134522961077259,0.23076415081259435,0.25578355307967976
2015-08-15,Watford,West Brom,0,0,D,5,0,0,0,18,19,35,90,1,27,20,26,66,2,0,0,0,0,0,0,0,0,0,0,0.45019922123362266,0.25625846738948466,0.29354231137689274
2015-08-15,West Ham,Leicester,1,2,A,3,6,1,0,19,16,24,74,1,31,33,26,81,1,7,6,6,35,1,10,6,6,26,1,0.34104226063988663,0.274966740175713,0.38399099918440044
